production_order_id,product_id,machine_id,plant_location,shift,planned_quantity,actual_quantity,start_date,end_date,status,operator_id,production_cost
PO0000098,PROD00701,MCH015,Plant B - Curitiba,Morning,4109,3432,2021-10-23,2023-03-27,Completed,EMP006,21919.77
PO0000099,PROD00099,MCH011,Plant D - Recife,Night,3172,4298,2021-12-24,2023-04-01,Completed,EMP039,37265.01
PO0000100,PROD00588,MCH013,Plant A - Sao Paulo,Night,4458,2495,2021-10-04,2024-05-02,Completed,EMP036,25150.56
PO0000101,PROD00041,MCH001,Plant C - Manaus,Night,2855,375,2023-01-07,2024-01-27,In Progress,EMP006,28217.89
PO0000102,PROD00710,MCH015,Plant B - Curitiba,Morning,4513,2728,2024-11-03,2024-11-20,Completed,EMP022,45894.57
PO0000103,PROD00895,MCH033,Plant D - Recife,Morning,3098,4391,2024-04-10,2024-05-31,Completed,EMP040,39327.93
PO0000104,PROD00320,MCH007,Plant C - Manaus,Night,1521,2713,2023-12-24,2024-01-15,Completed,EMP004,4919.48
PO0000105,PROD00291,MCH029,Plant D - Recife,Morning,3092,2249,2023-01-20,2023-07-29,Completed,EMP024,29259.15
PO0000106,PROD00532,MCH007,Plant C - Manaus,Morning,4556,3477,2023-04-10,2024-05-15,Completed,EMP034,42559.58
PO0000107,PROD00678,MCH039,Plant A - Sao Paulo,Night,4235,3953,2021-11-13,2024-04-01,In Progress,EMP011,39233.46
PO0000108,PROD00773,MCH047,Plant C - Manaus,Night,2674,764,2021-04-19,2021-08-30,Completed,EMP001,1634.29
PO0000109,PROD00330,MCH046,Plant C - Manaus,Morning,3436,2320,2021-10-15,2022-11-28,Completed,EMP014,45196.08
PO0000110,PROD00297,MCH047,Plant A - Sao Paulo,Morning,4459,2227,2021-09-08,2024-02-12,Completed,EMP022,16252.01
PO0000111,PROD00972,MCH008,Plant A - Sao Paulo,Afternoon,909,1450,2022-09-18,2023-09-27,Completed,EMP033,42294.64
PO0000112,PROD00317,MCH037,Plant D - Recife,Afternoon,2950,3154,2024-03-20,2024-05-27,Completed,EMP023,1826.91
PO0000113,PROD00787,MCH034,Plant C - Manaus,Morning,2040,408,2021-02-05,2021-10-04,Cancelled,EMP041,48070.01
PO0000114,PROD00395,MCH029,Plant D - Recife,Morning,3738,2786,2022-01-03,2023-07-02,Completed,EMP023,27318.06
PO0000115,PROD00468,MCH034,Plant D - Recife,Night,1722,2077,2021-05-06,2024-05-18,Completed,EMP023,39846.57
PO0000116,PROD00487,MCH023,Plant B - Curitiba,Night,344,3901,2022-11-05,2023-04-29,Completed,EMP002,2966.14
PO0000117,PROD00268,MCH018,Plant C - Manaus,Afternoon,4710,3069,2023-08-25,2024-06-24,Completed,EMP001,44939.41
PO0000118,PROD00362,MCH019,Plant A - Sao Paulo,Night,3896,4212,2024-04-17,2024-05-04,Completed,EMP023,1436.56
PO0000119,PROD00010,MCH007,Plant C - Manaus,Afternoon,4276,4474,2022-09-13,2023-08-02,Completed,EMP047,25809.61
PO0000120,PROD00986,MCH001,Plant A - Sao Paulo,Night,2825,3558,2023-04-03,2024-02-09,Completed,EMP005,26893.66
PO0000121,PROD00657,MCH022,Plant C - Manaus,Morning,3069,1415,2023-11-05,2024-08-14,Cancelled,EMP009,13792.97
PO0000122,PROD00815,MCH024,Plant B - Curitiba,Night,4553,2556,2021-07-17,2024-02-24,Completed,EMP042,28849.39
PO0000123,PROD00831,MCH013,Plant A - Sao Paulo,Night,4592,225,2023-11-21,2024-01-04,Completed,EMP047,29078.84
PO0000124,PROD00429,MCH034,Plant B - Curitiba,Morning,1844,822,2022-04-09,2024-04-22,Completed,EMP014,6973.19
PO0000125,PROD00690,MCH001,Plant C - Manaus,Afternoon,1085,1550,2023-01-29,2023-10-14,Completed,EMP040,15378.89
PO0000126,PROD00807,MCH044,Plant D - Recife,Night,2830,450,2021-10-05,2024-05-24,Completed,EMP029,48354.76
PO0000127,PROD00967,MCH011,Plant C - Manaus,Night,2330,2257,2022-01-11,2022-12-29,Completed,EMP043,22894.38
PO0000128,PROD00772,MCH036,Plant B - Curitiba,Night,1485,2290,2023-03-23,2023-07-18,Completed,EMP012,40018.77
PO0000129,PROD00059,MCH019,Plant A - Sao Paulo,Morning,2233,1167,2022-10-27,2023-02-23,Completed,EMP002,19434.24
PO0000130,PROD00069,MCH009,Plant A - Sao Paulo,Night,1894,3876,2022-04-19,2022-07-27,In Progress,EMP045,38506.45
PO0000131,PROD00371,MCH016,Plant C - Manaus,Night,4983,2517,2023-06-05,2023-10-25,Completed,EMP048,48939.9
PO0000132,PROD00516,MCH048,Plant C - Manaus,Morning,1966,3176,2022-08-04,2024-02-07,Completed,EMP049,3043.28
PO0000133,PROD00847,MCH023,Plant A - Sao Paulo,Morning,947,2709,2024-09-19,2024-12-04,In Progress,EMP019,13269.12
PO0000134,PROD00049,MCH020,Plant D - Recife,Night,704,4015,2024-12-18,2024-12-26,Completed,EMP006,24034.17
PO0000135,PROD00794,MCH028,Plant B - Curitiba,Night,1444,4026,2024-06-22,2024-08-06,Completed,EMP004,27951.28
PO0000136,PROD00546,MCH023,Plant D - Recife,Morning,2173,2537,2022-05-02,2023-06-10,Completed,EMP033,49816.03
PO0000137,PROD00836,MCH031,Plant D - Recife,Morning,4884,4269,2022-03-27,2023-10-08,In Progress,EMP037,14538.44
PO0000138,PROD00648,MCH038,Plant B - Curitiba,Morning,1395,102,2023-08-19,2023-08-23,In Progress,EMP030,43152.46
PO0000139,PROD00002,MCH018,Plant C - Manaus,Night,1732,3665,2024-03-31,2024-09-17,Cancelled,EMP011,13942.89
PO0000140,PROD00473,MCH001,Plant C - Manaus,Morning,3876,2317,2023-02-01,2024-01-11,Completed,EMP018,38322.87
PO0000141,PROD00675,MCH003,Plant A - Sao Paulo,Morning,2391,4387,2022-11-20,2023-07-30,Completed,EMP010,1027.81
PO0000142,PROD00817,MCH035,Plant D - Recife,Morning,2456,1906,2021-01-10,2024-10-28,Completed,EMP039,10797.56
PO0000143,PROD00691,MCH032,Plant C - Manaus,Morning,3089,1220,2022-08-29,2024-09-15,Completed,EMP006,43516.66
PO0000144,PROD00441,MCH025,Plant D - Recife,Night,4898,1156,2024-08-16,2024-11-23,Completed,EMP039,1199.61
PO0000145,PROD00517,MCH016,Plant C - Manaus,Morning,465,4200,2022-08-21,2024-08-28,Completed,EMP042,44838.34
PO0000146,PROD00951,MCH024,Plant A - Sao Paulo,Night,2176,4559,2022-06-27,2024-09-02,Completed,EMP029,5855.36
PO0000147,PROD00783,MCH043,Plant D - Recife,Night,4377,1342,2023-04-07,2024-07-03,Completed,EMP035,40905.16
PO0000148,PROD00123,MCH024,Plant D - Recife,Afternoon,4078,1070,2023-06-26,2024-04-01,In Progress,EMP001,668.87
PO0000149,PROD00684,MCH048,Plant C - Manaus,Afternoon,150,2234,2021-10-04,2023-02-02,Completed,EMP042,37587.27
PO0000150,PROD00692,MCH026,Plant D - Recife,Night,1174,162,2021-05-18,2022-12-07,Completed,EMP027,26675.57
PO0000151,PROD00589,MCH011,Plant D - Recife,Morning,585,3093,2023-11-14,2024-11-20,In Progress,EMP027,5872.53
PO0000152,PROD00269,MCH031,Plant A - Sao Paulo,Afternoon,2629,3034,2022-06-24,2023-10-30,Completed,EMP005,27060.38
PO0000153,PROD00540,MCH031,Plant D - Recife,Morning,772,3375,2022-07-16,2024-09-26,In Progress,EMP010,2265.76
PO0000154,PROD00857,MCH003,Plant B - Curitiba,Night,4278,4381,2021-03-22,2021-03-22,In Progress,EMP043,29102.7
PO0000155,PROD00354,MCH029,Plant A - Sao Paulo,Morning,1100,4368,2021-08-04,2022-07-22,In Progress,EMP026,33682.47
PO0000156,PROD00619,MCH030,Plant C - Manaus,Night,1981,120,2021-09-22,2023-10-06,In Progress,EMP048,10859.87
PO0000157,PROD00236,MCH047,Plant A - Sao Paulo,Night,3808,4862,2021-04-30,2024-06-23,Completed,EMP030,6466.64
PO0000158,PROD00822,MCH028,Plant D - Recife,Night,3790,4003,2023-09-24,2024-12-06,Completed,EMP042,20891.17
PO0000159,PROD00659,MCH031,Plant D - Recife,Afternoon,1180,2835,2024-04-08,2024-11-20,Completed,EMP043,6930.67
PO0000160,PROD00800,MCH016,Plant C - Manaus,Night,1665,2308,2022-09-14,2024-11-26,Completed,EMP030,18356.71
PO0000161,PROD00687,MCH034,Plant B - Curitiba,Night,4199,3884,2023-08-12,2024-02-07,Completed,EMP006,37132.34
PO0000162,PROD00010,MCH010,Plant D - Recife,Afternoon,4698,1954,2022-05-19,2024-07-31,Completed,EMP023,45797.62
PO0000163,PROD00714,MCH033,Plant D - Recife,Night,2675,1237,2022-01-26,2022-03-16,Completed,EMP010,37588.72
PO0000164,PROD00373,MCH025,Plant C - Manaus,Morning,3965,207,2023-10-04,2024-06-06,Completed,EMP040,48235.46
PO0000165,PROD00901,MCH039,Plant B - Curitiba,Morning,3740,2605,2022-12-16,2024-01-18,Completed,EMP029,12603.79
PO0000166,PROD00334,MCH009,Plant D - Recife,Night,703,4780,2021-05-07,2024-04-15,Completed,EMP032,16368.23
PO0000167,PROD00595,MCH002,Plant C - Manaus,Afternoon,2576,3510,2024-04-03,2024-05-17,Cancelled,EMP032,27469.31
PO0000168,PROD00687,MCH006,Plant D - Recife,Night,4944,3687,2022-05-21,2022-12-14,Completed,EMP019,13712.67
PO0000169,PROD00953,MCH006,Plant B - Curitiba,Night,3874,3498,2022-12-31,2024-10-03,Completed,EMP038,23368.46
PO0000170,PROD00077,MCH022,Plant A - Sao Paulo,Morning,4552,4329,2021-02-17,2023-08-18,Completed,EMP008,44241.95
PO0000171,PROD00641,MCH016,Plant A - Sao Paulo,Morning,3060,2143,2022-08-02,2023-05-29,Completed,EMP038,13514.43
PO0000172,PROD00946,MCH028,Plant A - Sao Paulo,Morning,3808,2274,2023-10-15,2024-09-04,Completed,EMP036,46479.76
PO0000173,PROD00401,MCH010,Plant B - Curitiba,Night,2085,2082,2022-04-06,2023-06-18,Completed,EMP006,12043.15
PO0000174,PROD00471,MCH007,Plant A - Sao Paulo,Afternoon,3029,1583,2023-02-26,2024-01-06,Completed,EMP040,31574.83
PO0000175,PROD00511,MCH032,Plant D - Recife,Night,4549,3056,2021-03-11,2024-10-13,Completed,EMP027,15593.64
PO0000176,PROD00248,MCH017,Plant D - Recife,Morning,2902,4342,2024-07-15,2024-10-20,Completed,EMP026,43680.44
PO0000177,PROD00395,MCH047,Plant A - Sao Paulo,Afternoon,4613,233,2023-11-27,2024-08-25,Completed,EMP037,48252.33
PO0000178,PROD00715,MCH021,Plant A - Sao Paulo,Afternoon,4550,2990,2022-02-13,2022-05-14,Completed,EMP011,16038.66
PO0000179,PROD00019,MCH028,Plant B - Curitiba,Night,774,863,2024-05-16,2024-12-08,Completed,EMP010,14228.86
PO0000180,PROD00254,MCH002,Plant A - Sao Paulo,Afternoon,4339,3388,2021-12-06,2023-09-01,Completed,EMP007,9469.32
PO0000181,PROD00630,MCH009,Plant D - Recife,Afternoon,2476,3276,2023-10-13,2024-08-31,In Progress,EMP043,27546.15
PO0000182,PROD00934,MCH007,Plant C - Manaus,Night,1226,4337,2022-07-04,2024-05-04,Completed,EMP012,6665.35
PO0000183,PROD00728,MCH018,Plant D - Recife,Night,4783,2436,2024-04-02,2024-11-27,Completed,EMP032,25027.57
PO0000184,PROD00233,MCH032,Plant A - Sao Paulo,Night,2490,4137,2024-06-13,2024-08-26,In Progress,EMP009,28267.8
PO0000185,PROD00524,MCH012,Plant A - Sao Paulo,Night,425,617,2024-04-25,2024-09-08,Completed,EMP041,24716.56
PO0000186,PROD00453,MCH030,Plant B - Curitiba,Afternoon,3530,3882,2023-05-25,2023-09-19,In Progress,EMP050,47544.77
PO0000187,PROD00438,MCH015,Plant C - Manaus,Night,1629,4703,2022-06-07,2022-12-25,Completed,EMP044,5548.89
PO0000188,PROD00132,MCH044,Plant B - Curitiba,Night,4259,2381,2021-08-29,2023-05-11,In Progress,EMP019,19614.6
PO0000189,PROD00237,MCH020,Plant D - Recife,Afternoon,2237,1069,2021-04-09,2023-01-30,Completed,EMP034,12875.36
PO0000190,PROD00071,MCH038,Plant D - Recife,Night,2444,1624,2024-04-17,2024-06-02,Cancelled,EMP046,22611.87
PO0000191,PROD00280,MCH024,Plant A - Sao Paulo,Morning,4395,631,2023-12-27,2024-02-11,Completed,EMP021,3881.31
PO0000192,PROD00665,MCH030,Plant C - Manaus,Afternoon,1254,3233,2023-08-02,2023-10-08,Completed,EMP034,49766.68
PO0000193,PROD00785,MCH036,Plant C - Manaus,Morning,3145,3870,2024-11-06,2024-12-13,Completed,EMP005,18204.26
PO0000194,PROD00442,MCH030,Plant D - Recife,Night,4288,1769,2021-07-22,2022-09-14,Completed,EMP015,11520.85
PO0000195,PROD00983,MCH018,Plant A - Sao Paulo,Night,1184,2964,2021-12-26,2023-07-30,Completed,EMP020,18493.74
PO0000196,PROD00898,MCH011,Plant D - Recife,Morning,416,4385,2021-10-08,2022-05-18,Completed,EMP050,45113.58
PO0000197,PROD00880,MCH044,Plant D - Recife,Night,2327,3860,2023-01-10,2023-04-19,Completed,EMP037,36937.32
PO0000198,PROD00369,MCH029,Plant A - Sao Paulo,Morning,2260,2524,2023-06-04,2023-09-19,In Progress,EMP042,10949.89
PO0000199,PROD00120,MCH017,Plant B - Curitiba,Night,4517,3361,2023-08-26,2024-07-29,Completed,EMP018,49514.76
PO0000200,PROD00039,MCH018,Plant D - Recife,Morning,1317,1157,2024-07-12,2024-09-28,Completed,EMP010,18031.92
PO0000201,PROD00856,MCH012,Plant B - Curitiba,Morning,3113,903,2022-11-22,2023-01-21,Completed,EMP028,15325.46
PO0000202,PROD00484,MCH050,Plant D - Recife,Morning,1054,502,2021-05-27,2021-11-26,Completed,EMP025,38597.65
PO0000203,PROD00237,MCH005,Plant A - Sao Paulo,Night,1530,361,2022-09-21,2023-11-21,Completed,EMP035,35478.04
PO0000204,PROD00794,MCH039,Plant B - Curitiba,Afternoon,706,3505,2023-10-13,2024-05-24,Completed,EMP024,1097.74
PO0000205,PROD00978,MCH025,Plant A - Sao Paulo,Morning,1949,232,2023-12-06,2024-02-26,Completed,EMP012,35256.0
PO0000206,PROD00229,MCH027,Plant C - Manaus,Afternoon,294,763,2021-05-23,2022-08-07,In Progress,EMP038,41153.66
PO0000207,PROD00649,MCH030,Plant A - Sao Paulo,Morning,4863,611,2021-11-17,2022-09-30,Completed,EMP043,18409.26
PO0000208,PROD00120,MCH003,Plant B - Curitiba,Morning,1811,3994,2022-03-25,2024-06-20,Completed,EMP035,31779.37
PO0000209,PROD00532,MCH043,Plant D - Recife,Night,3707,3262,2024-07-20,2024-09-24,Completed,EMP027,35105.48
PO0000210,PROD00830,MCH027,Plant C - Manaus,Afternoon,4219,1275,2024-07-05,2024-12-01,In Progress,EMP022,12403.34
