defect_id,production_order_id,machine_id,defect_type,defect_quantity,inspection_date,inspector_id,corrective_action
DEF000041,PO0002393,MCH002,Assembly Fault,20,2024-01-15,INS09,Rework
DEF000042,PO0000477,MCH023,None,6,2023-06-01,INS05,Scrap
DEF000043,PO0001219,MCH025,Surface Scratch,30,2024-06-25,INS01,Accept
DEF000044,PO0004050,MCH007,Dimensional Error,41,2024-11-05,INS10,
DEF000045,PO0002069,MCH049,Dimensional Error,21,2022-02-11,INS05,Pending
DEF000046,PO0004138,MCH005,None,19,2024-11-26,INS05,Rework
DEF000047,PO0001011,MCH044,Dimensional Error,28,2024-11-26,INS04,Scrap
DEF000048,PO0003633,MCH009,Surface Scratch,21,2024-01-07,INS03,
DEF000049,PO0002128,MCH038,Surface Scratch,32,2023-04-13,INS08,Pending
DEF000050,PO0002719,MCH038,Surface Scratch,2,2021-10-22,INS07,Rework
DEF000051,PO0004434,MCH020,None,15,2022-07-19,INS07,Pending
DEF000052,PO0001778,MCH047,None,0,2024-08-26,INS01,Scrap
DEF000053,PO0000397,MCH022,Surface Scratch,28,2022-11-02,INS07,Accept
DEF000054,PO0004818,MCH022,Color Mismatch,34,2024-08-01,INS06,Rework
DEF000055,PO0001173,MCH006,Surface Scratch,4,2023-05-28,INS03,Accept
DEF000056,PO0003549,MCH041,None,24,2023-07-03,INS06,
DEF000057,PO0004692,MCH006,Color Mismatch,34,2024-12-16,INS04,Rework
DEF000058,PO0003203,MCH012,None,33,2024-03-06,INS06,Rework
DEF000059,PO0000479,MCH025,Material Defect,0,2023-06-12,INS05,Pending
DEF000060,PO0003924,MCH047,Dimensional Error,49,2023-11-04,INS06,Rework
DEF000061,PO0001816,MCH022,None,9,2021-04-06,INS06,Pending
DEF000062,PO0000805,MCH028,Material Defect,8,2023-01-07,INS10,Scrap
DEF000063,PO0003993,MCH040,Material Defect,19,2023-02-20,INS06,Accept
DEF000064,PO0002332,MCH026,None,2,2023-12-24,INS05,Rework
DEF000065,PO0003227,MCH016,Material Defect,42,2023-07-03,INS07,
DEF000066,PO0001974,MCH037,Dimensional Error,0,2024-12-02,INS05,Pending
DEF000067,PO0000238,MCH011,Material Defect,27,2022-07-08,INS09,
DEF000068,PO0001650,MCH004,None,34,2022-08-06,INS01,Rework
DEF000069,PO0000041,MCH046,None,36,2023-04-10,INS07,Scrap
DEF000070,PO0002493,MCH034,Surface Scratch,11,2024-06-10,INS06,Accept
DEF000071,PO0001554,MCH010,None,14,2024-09-08,INS03,Scrap
DEF000072,PO0000637,MCH018,Surface Scratch,3,2024-07-02,INS03,Scrap
DEF000073,PO0004953,MCH010,Dimensional Error,47,2024-04-12,INS01,Accept
DEF000074,PO0000086,MCH013,Assembly Fault,13,2024-01-02,INS09,
DEF000075,PO0001189,MCH045,None,21,2023-02-27,INS04,Scrap
DEF000076,PO0003605,MCH045,Dimensional Error,31,2023-06-08,INS10,Pending
DEF000077,PO0000847,MCH007,Assembly Fault,26,2023-07-16,INS05,Accept
DEF000078,PO0004395,MCH046,None,38,2023-10-28,INS01,Rework
DEF000079,PO0003564,MCH017,Surface Scratch,25,2023-02-26,INS06,Scrap
DEF000080,PO0000291,MCH014,Dimensional Error,0,2024-02-24,INS08,Accept
DEF000081,PO0003716,MCH021,None,25,2024-11-29,INS09,
DEF000082,PO0001293,MCH024,Assembly Fault,50,2024-01-24,INS01,
DEF000083,PO0002017,MCH007,Surface Scratch,29,2023-10-03,INS08,Scrap
DEF000084,PO0001712,MCH043,Assembly Fault,49,2024-08-26,INS02,Pending
DEF000085,PO0004238,MCH019,Color Mismatch,4,2023-10-01,INS05,Pending
DEF000086,PO0003674,MCH026,Surface Scratch,10,2024-10-14,INS02,Pending
DEF000087,PO0002249,MCH027,Surface Scratch,34,2023-07-11,INS07,
DEF000088,PO0000653,MCH005,Surface Scratch,24,2024-11-08,INS09,Accept
DEF000089,PO0001630,MCH046,Assembly Fault,1,2024-10-16,INS10,Rework
DEF000090,PO0004705,MCH044,None,31,2024-09-17,INS06,Accept
DEF000091,PO0000766,MCH006,Dimensional Error,1,2024-08-20,INS09,Accept
DEF000092,PO0003732,MCH001,Color Mismatch,12,2022-11-27,INS05,Accept
DEF000093,PO0004902,MCH009,Color Mismatch,46,2024-11-26,INS04,Pending
DEF000094,PO0003234,MCH005,Surface Scratch,39,2024-03-19,INS06,
DEF000095,PO0001704,MCH031,Assembly Fault,42,2024-12-21,INS02,Accept
DEF000096,PO0002372,MCH033,Dimensional Error,41,2023-12-19,INS05,Rework
DEF000097,PO0003398,MCH026,Assembly Fault,11,2023-12-05,INS09,
DEF000098,PO0001175,MCH008,None,17,2022-12-18,INS03,
DEF000099,PO0003473,MCH036,Surface Scratch,39,2024-12-14,INS06,Scrap
DEF000100,PO0000064,MCH045,Dimensional Error,41,2024-03-31,INS07,Pending
DEF000101,PO0002215,MCH008,Color Mismatch,45,2024-07-19,INS08,Scrap
DEF000102,PO0004472,MCH004,None,24,2023-06-21,INS03,
DEF000103,PO0000956,MCH020,None,28,2024-03-24,INS07,Rework
DEF000104,PO0004469,MCH013,Surface Scratch,20,2023-06-17,INS01,Scrap
DEF000105,PO0001789,MCH002,Dimensional Error,6,2024-12-18,INS04,Pending
DEF000106,PO0001862,MCH025,None,30,2024-01-04,INS10,Pending
DEF000107,PO0002193,MCH021,Surface Scratch,16,2024-11-30,INS04,Pending
DEF000108,PO0003752,MCH036,None,27,2024-04-02,INS01,Scrap
DEF000109,PO0001032,MCH044,Material Defect,20,2024-10-21,INS06,Rework
DEF000110,PO0002714,MCH042,Surface Scratch,41,2024-09-02,INS10,Accept
DEF000111,PO0003228,MCH025,Dimensional Error,29,2023-10-06,INS09,Scrap
DEF000112,PO0000650,MCH009,Assembly Fault,29,2024-02-16,INS02,Accept
DEF000113,PO0003472,MCH038,Surface Scratch,5,2024-05-29,INS04,Pending
DEF000114,PO0003696,MCH011,Dimensional Error,30,2023-12-02,INS05,Pending
DEF000115,PO0003701,MCH022,Surface Scratch,21,2023-05-05,INS01,
DEF000116,PO0000269,MCH041,None,27,2024-12-17,INS06,Accept
DEF000117,PO0004907,MCH041,None,12,2023-08-03,INS07,Rework
DEF000118,PO0001363,MCH014,None,11,2024-12-29,INS02,Scrap
DEF000119,PO0002098,MCH007,Surface Scratch,46,2024-11-09,INS03,Pending
DEF000120,PO0004208,MCH003,Surface Scratch,48,2022-03-14,INS04,Pending
DEF000121,PO0003867,MCH049,Dimensional Error,23,2024-01-19,INS02,Pending
DEF000122,PO0003531,MCH033,None,3,2022-01-24,INS04,Accept
DEF000123,PO0004610,MCH001,None,8,2024-02-02,INS03,Accept
DEF000124,PO0001979,MCH038,Surface Scratch,26,2024-12-02,INS03,Accept
DEF000125,PO0000099,MCH011,Assembly Fault,10,2023-04-01,INS03,Scrap
DEF000126,PO0002043,MCH014,Assembly Fault,43,2024-04-05,INS05,Accept
DEF000127,PO0002408,MCH043,Surface Scratch,13,2024-10-18,INS03,Pending
DEF000128,PO0002902,MCH031,Assembly Fault,47,2024-12-02,INS01,Accept
DEF000129,PO0002189,MCH026,None,14,2021-09-08,INS09,Pending
DEF000130,PO0003296,MCH046,Surface Scratch,16,2021-06-13,INS10,Scrap
DEF000131,PO0004934,MCH021,None,35,2023-10-03,INS09,Accept
DEF000132,PO0003078,MCH006,Assembly Fault,33,2023-11-09,INS06,Pending
DEF000133,PO0002008,MCH015,Material Defect,31,2024-12-29,INS02,Pending
DEF000134,PO0004362,MCH044,Surface Scratch,0,2023-01-17,INS08,Accept
DEF000135,PO0000875,MCH009,Color Mismatch,32,2024-11-09,INS01,Scrap
DEF000136,PO0003595,MCH038,Material Defect,18,2022-05-08,INS02,
DEF000137,PO0000678,MCH043,Surface Scratch,0,2024-05-24,INS07,Rework
DEF000138,PO0003913,MCH037,None,11,2022-05-01,INS06,Scrap
DEF000139,PO0001005,MCH030,None,49,2023-12-10,INS06,Accept
DEF000140,PO0001080,MCH040,Material Defect,33,2023-11-18,INS05,Accept
DEF000141,PO0002653,MCH024,None,14,2024-12-24,INS03,
DEF000142,PO0002560,MCH030,Surface Scratch,34,2021-07-31,INS10,Pending
DEF000143,PO0004020,MCH002,None,27,2024-07-11,INS01,Accept
DEF000144,PO0001437,MCH045,None,9,2023-10-12,INS08,Accept
DEF000145,PO0001297,MCH026,None,23,2022-01-27,INS01,Accept
DEF000146,PO0003927,MCH018,Assembly Fault,23,2024-04-17,INS08,
DEF000147,PO0001434,MCH022,Surface Scratch,39,2021-08-06,INS07,Accept
DEF000148,PO0000158,MCH028,Material Defect,19,2024-12-06,INS07,Accept
DEF000149,PO0004099,MCH034,Material Defect,48,2024-12-24,INS09,Accept
DEF000150,PO0000832,MCH033,Surface Scratch,20,2024-09-02,INS08,
DEF000151,PO0003112,MCH014,Dimensional Error,12,2023-08-12,INS02,
DEF000152,PO0000934,MCH025,None,7,2022-04-18,INS01,Scrap
DEF000153,PO0000111,MCH008,Surface Scratch,12,2023-09-27,INS08,Rework
DEF000154,PO0001359,MCH033,None,33,2024-05-13,INS01,Pending
DEF000155,PO0000065,MCH014,Material Defect,45,2024-01-24,INS03,Pending
DEF000156,PO0004269,MCH015,None,4,2022-04-09,INS06,Rework
DEF000157,PO0003432,MCH045,None,23,2024-01-14,INS01,
DEF000158,PO0000030,MCH045,Dimensional Error,34,2024-08-19,INS09,Accept
DEF000159,PO0002102,MCH019,Dimensional Error,14,2024-10-20,INS09,Accept
DEF000160,PO0003194,MCH033,None,33,2024-12-02,INS05,Pending
DEF000161,PO0001136,MCH043,Dimensional Error,17,2024-12-30,INS10,Scrap
DEF000162,PO0002957,MCH038,Material Defect,15,2022-09-16,INS07,Rework
DEF000163,PO0004832,MCH014,Dimensional Error,16,2024-11-07,INS03,Accept
DEF000164,PO0004518,MCH041,None,3,2021-12-23,INS04,
DEF000165,PO0002600,MCH035,Dimensional Error,39,2022-05-27,INS09,Pending
DEF000166,PO0004313,MCH031,None,21,2024-04-27,INS09,Pending
DEF000167,PO0004285,MCH021,Assembly Fault,43,2024-05-10,INS07,Pending
DEF000168,PO0003976,MCH034,None,45,2024-09-21,INS08,Scrap
DEF000169,PO0004207,MCH005,Dimensional Error,4,2024-05-06,INS05,Pending
DEF000170,PO0001869,MCH018,Surface Scratch,3,2024-12-28,INS08,Pending
DEF000171,PO0002886,MCH028,None,1,2023-11-20,INS01,
DEF000172,PO0003130,MCH016,Color Mismatch,44,2024-07-12,INS04,
DEF000173,PO0001840,MCH014,Color Mismatch,21,2024-02-28,INS06,Rework
DEF000174,PO0002615,MCH046,Surface Scratch,19,2024-04-29,INS09,Scrap
DEF000175,PO0004770,MCH048,Assembly Fault,9,2023-11-21,INS08,
DEF000176,PO0001135,MCH031,Assembly Fault,8,2023-07-29,INS08,Scrap
DEF000177,PO0004486,MCH013,None,6,2023-02-13,INS01,Rework
DEF000178,PO0001443,MCH033,Surface Scratch,42,2023-12-04,INS02,Accept
DEF000179,PO0003577,MCH019,None,17,2022-11-28,INS04,Rework
DEF000180,PO0002862,MCH048,None,25,2024-10-04,INS04,Pending
DEF000181,PO0003477,MCH002,Dimensional Error,1,2024-11-06,INS08,Scrap
DEF000182,PO0001115,MCH009,None,29,2024-05-08,INS07,
DEF000183,PO0004585,MCH010,None,17,2024-05-28,INS01,Scrap
DEF000184,PO0002309,MCH005,Assembly Fault,45,2024-04-19,INS03,Accept
DEF000185,PO0002745,MCH036,Assembly Fault,13,2024-04-12,INS01,
DEF000186,PO0003065,MCH020,Surface Scratch,39,2023-09-29,INS03,
DEF000187,PO0002876,MCH030,Material Defect,17,2024-10-15,INS07,Scrap
DEF000188,PO0000992,MCH009,Material Defect,7,2024-03-06,INS03,Pending
DEF000189,PO0004572,MCH043,None,15,2023-08-20,INS02,Scrap
DEF000190,PO0002145,MCH021,Surface Scratch,43,2024-07-23,INS02,
DEF000191,PO0001382,MCH046,Color Mismatch,42,2024-01-07,INS08,Scrap
DEF000192,PO0002889,MCH014,None,20,2024-12-10,INS05,Accept
DEF000193,PO0003807,MCH001,Surface Scratch,39,2024-12-14,INS09,Accept
DEF000194,PO0004614,MCH023,Surface Scratch,23,2024-09-17,INS06,Accept
DEF000195,PO0002561,MCH009,Dimensional Error,40,2024-06-16,INS07,Accept
DEF000196,PO0000838,MCH021,Color Mismatch,25,2024-01-25,INS05,Pending
DEF000197,PO0002201,MCH004,None,6,2024-02-02,INS09,Pending
DEF000198,PO0003326,MCH050,Dimensional Error,25,2024-03-29,INS02,Accept
DEF000199,PO0003655,MCH004,Dimensional Error,31,2023-09-01,INS04,Pending
DEF000200,PO0002082,MCH015,Color Mismatch,30,2024-12-18,INS10,Scrap
DEF000201,PO0003593,MCH050,Assembly Fault,42,2024-09-09,INS03,
DEF000202,PO0001866,MCH040,Assembly Fault,2,2023-05-15,INS03,
DEF000203,PO0001353,MCH009,Surface Scratch,23,2023-05-16,INS02,Pending
DEF000204,PO0002096,MCH006,Material Defect,0,2023-05-31,INS02,
DEF000205,PO0004134,MCH011,None,28,2022-06-03,INS04,
DEF000206,PO0004458,MCH030,None,9,2023-07-09,INS03,Scrap
DEF000207,PO0003943,MCH030,Assembly Fault,26,2024-12-05,INS01,Scrap
DEF000208,PO0003971,MCH037,Surface Scratch,4,2024-04-12,INS01,Scrap
DEF000209,PO0001659,MCH008,Dimensional Error,18,2022-02-08,INS10,
DEF000210,PO0004788,MCH018,Surface Scratch,33,2024-12-12,INS03,Pending
DEF000211,PO0002937,MCH047,None,19,2024-05-04,INS08,Pending
DEF000212,PO0001716,MCH016,Material Defect,32,2024-12-23,INS02,
DEF000213,PO0000412,MCH025,None,49,2024-12-07,INS03,
DEF000214,PO0000518,MCH017,Surface Scratch,26,2021-10-25,INS09,Scrap
DEF000215,PO0001045,MCH044,Dimensional Error,10,2023-03-23,INS05,Scrap
DEF000216,PO0004578,MCH042,Surface Scratch,9,2024-02-15,INS06,Scrap
DEF000217,PO0001934,MCH047,Dimensional Error,8,2024-08-20,INS04,Scrap
DEF000218,PO0000155,MCH029,Material Defect,14,2022-07-22,INS03,
DEF000219,PO0002690,MCH045,None,29,2023-09-22,INS10,Rework
DEF000220,PO0003450,MCH042,None,25,2023-09-21,INS04,Pending
DEF000221,PO0001213,MCH029,Dimensional Error,7,2022-08-30,INS08,
DEF000222,PO0003692,MCH019,Color Mismatch,39,2024-12-25,INS03,Pending
DEF000223,PO0002723,MCH004,Surface Scratch,48,2022-01-03,INS01,Scrap
DEF000224,PO0004679,MCH026,Assembly Fault,14,2024-12-15,INS10,Accept
DEF000225,PO0003517,MCH008,None,30,2024-09-27,INS05,Accept
DEF000226,PO0000793,MCH016,Surface Scratch,14,2024-09-24,INS10,Accept
DEF000227,PO0001749,MCH021,Dimensional Error,38,2024-10-20,INS04,Pending
DEF000228,PO0002471,MCH034,Material Defect,28,2022-08-09,INS01,Scrap
DEF000229,PO0000123,MCH013,Dimensional Error,39,2024-01-04,INS07,
DEF000230,PO0002742,MCH004,Material Defect,34,2023-09-12,INS07,
DEF000231,PO0004504,MCH048,Color Mismatch,25,2024-08-13,INS10,
DEF000232,PO0001193,MCH015,Material Defect,37,2023-12-12,INS04,Accept
DEF000233,PO0004712,MCH010,Assembly Fault,12,2022-02-20,INS03,Pending
DEF000234,PO0002612,MCH036,None,2,2023-09-23,INS06,Accept
DEF000235,PO0000850,MCH026,Color Mismatch,18,2024-11-11,INS06,Accept
DEF000236,PO0001519,MCH013,Dimensional Error,49,2024-02-28,INS05,Pending
DEF000237,PO0004118,MCH019,Surface Scratch,17,2022-12-27,INS06,
DEF000238,PO0002856,MCH034,Dimensional Error,13,2024-01-01,INS09,Rework
DEF000239,PO0001796,MCH004,None,13,2024-08-20,INS07,Scrap
DEF000240,PO0003333,MCH044,None,41,2024-04-27,INS07,Accept
DEF000241,PO0001490,MCH021,None,39,2024-10-24,INS09,Rework
DEF000242,PO0000736,MCH017,Dimensional Error,48,2024-08-23,INS09,Scrap
DEF000243,PO0004312,MCH032,Assembly Fault,41,2024-08-29,INS02,Rework
DEF000244,PO0003520,MCH049,None,50,2024-06-12,INS02,Rework
DEF000245,PO0000806,MCH036,None,17,2024-06-15,INS02,Rework
DEF000246,PO0001370,MCH024,Color Mismatch,25,2024-05-30,INS04,Scrap
DEF000247,PO0002020,MCH028,Surface Scratch,19,2024-05-17,INS09,Scrap
DEF000248,PO0003032,MCH007,Assembly Fault,18,2023-08-09,INS02,Rework
DEF000249,PO0002783,MCH017,None,20,2022-04-30,INS01,Scrap
DEF000250,PO0003631,MCH023,None,47,2023-02-22,INS09,Pending
DEF000251,PO0000676,MCH034,None,49,2024-05-02,INS09,Pending
DEF000252,PO0000343,MCH015,Dimensional Error,5,2024-12-22,INS06,Accept
DEF000253,PO0004605,MCH033,None,19,2021-08-05,INS03,
DEF000254,PO0000907,MCH005,None,23,2023-08-09,INS09,Accept
DEF000255,PO0003711,MCH007,Assembly Fault,7,2023-12-08,INS05,Rework
DEF000256,PO0002680,MCH013,None,12,2023-12-08,INS04,Scrap
DEF000257,PO0002484,MCH040,Assembly Fault,8,2023-09-14,INS01,Rework
DEF000258,PO0001690,MCH044,None,39,2024-12-18,INS04,Rework
DEF000259,PO0003487,MCH024,Surface Scratch,17,2024-12-05,INS01,Rework
DEF000260,PO0003466,MCH008,Material Defect,40,2022-09-28,INS01,Accept
DEF000261,PO0002914,MCH008,Material Defect,37,2024-11-29,INS04,
DEF000262,PO0004966,MCH025,Material Defect,44,2023-10-16,INS07,
DEF000263,PO0003915,MCH021,Surface Scratch,42,2024-10-11,INS08,
DEF000264,PO0004755,MCH001,Surface Scratch,33,2024-12-22,INS02,Scrap
DEF000265,PO0002627,MCH050,Color Mismatch,27,2024-02-17,INS04,Pending
DEF000266,PO0003840,MCH022,Assembly Fault,0,2023-12-07,INS03,Accept
DEF000267,PO0000551,MCH034,Surface Scratch,49,2021-11-07,INS04,Accept
DEF000268,PO0001900,MCH006,Surface Scratch,24,2024-02-05,INS06,Scrap
DEF000269,PO0002157,MCH008,Color Mismatch,11,2023-09-16,INS01,
DEF000270,PO0004189,MCH008,Dimensional Error,48,2024-08-22,INS08,Accept
DEF000271,PO0000971,MCH001,Surface Scratch,32,2023-11-24,INS04,
DEF000272,PO0003193,MCH018,None,46,2023-09-05,INS01,Pending
DEF000273,PO0002831,MCH040,None,32,2024-12-05,INS07,Pending
DEF000274,PO0003812,MCH022,None,23,2023-05-13,INS09,
DEF000275,PO0003185,MCH048,Color Mismatch,17,2024-11-23,INS07,Pending
DEF000276,PO0000455,MCH004,None,12,2022-10-06,INS09,Rework
DEF000277,PO0000760,MCH010,Surface Scratch,19,2024-03-08,INS09,
DEF000278,PO0002344,MCH005,Surface Scratch,1,2024-12-25,INS02,
DEF000279,PO0000727,MCH042,None,4,2024-04-02,INS09,Accept
DEF000280,PO0002129,MCH012,Assembly Fault,19,2024-09-07,INS10,Accept
DEF000281,PO0004652,MCH010,None,39,2022-08-27,INS05,Pending
DEF000282,PO0001865,MCH011,None,44,2023-09-25,INS06,Scrap
DEF000283,PO0002300,MCH006,Dimensional Error,47,2023-01-03,INS10,Scrap
DEF000284,PO0003048,MCH050,Surface Scratch,43,2024-01-03,INS03,Pending
DEF000285,PO0001572,MCH004,Surface Scratch,5,2021-12-12,INS08,Accept
DEF000286,PO0000722,MCH033,Surface Scratch,25,2023-03-03,INS03,
DEF000287,PO0001647,MCH029,Surface Scratch,49,2024-10-29,INS05,Pending
DEF000288,PO0002515,MCH016,None,19,2024-12-24,INS02,
DEF000289,PO0002800,MCH034,None,10,2023-07-22,INS04,
DEF000290,PO0003815,MCH033,Surface Scratch,4,2023-01-20,INS04,Rework
DEF000291,PO0003799,MCH029,Surface Scratch,50,2024-06-29,INS06,Rework
DEF000292,PO0000376,MCH011,None,12,2024-04-09,INS04,Scrap
DEF000293,PO0001185,MCH027,Color Mismatch,4,2024-03-26,INS01,Accept
DEF000294,PO0004308,MCH050,Surface Scratch,14,2022-10-27,INS05,
DEF000295,PO0003210,MCH030,Dimensional Error,16,2023-03-01,INS03,Pending
DEF000296,PO0003654,MCH039,Assembly Fault,31,2023-06-27,INS10,
DEF000297,PO0002894,MCH008,None,23,2023-10-18,INS09,
DEF000298,PO0003515,MCH046,None,7,2022-12-18,INS05,
DEF000299,PO0002668,MCH049,Surface Scratch,6,2024-10-04,INS06,Pending
DEF000300,PO0003785,MCH026,Assembly Fault,24,2024-11-23,INS08,Pending
DEF000301,PO0001793,MCH040,None,12,2022-10-02,INS05,
DEF000302,PO0004497,MCH029,Surface Scratch,10,2024-09-03,INS04,Scrap
DEF000303,PO0000797,MCH048,Surface Scratch,19,2024-09-26,INS02,Accept
DEF000304,PO0002038,MCH014,None,47,2023-07-03,INS06,Rework
DEF000305,PO0000614,MCH008,Dimensional Error,25,2024-02-20,INS02,Rework
DEF000306,PO0001971,MCH036,Surface Scratch,27,2023-11-24,INS06,Scrap
DEF000307,PO0000555,MCH019,Assembly Fault,45,2022-01-03,INS03,
DEF000308,PO0004332,MCH017,Dimensional Error,5,2024-03-30,INS10,Accept
DEF000309,PO0004781,MCH012,Material Defect,35,2023-05-31,INS05,
DEF000310,PO0002532,MCH006,Surface Scratch,42,2024-12-07,INS04,Scrap
DEF000311,PO0001165,MCH035,None,16,2023-05-30,INS03,Rework
DEF000312,PO0003585,MCH012,Dimensional Error,6,2024-02-09,INS01,Scrap
DEF000313,PO0001247,MCH012,Assembly Fault,33,2024-07-14,INS10,Rework
DEF000314,PO0001171,MCH004,Surface Scratch,39,2024-10-20,INS06,
DEF000315,PO0001993,MCH038,None,24,2024-10-20,INS01,Pending
DEF000316,PO0001847,MCH042,None,39,2024-07-14,INS02,Rework
DEF000317,PO0002562,MCH037,Assembly Fault,26,2024-08-14,INS04,
DEF000318,PO0000045,MCH029,Surface Scratch,17,2024-09-10,INS09,Rework
DEF000319,PO0003099,MCH044,None,36,2024-07-20,INS05,Rework
DEF000320,PO0000083,MCH010,Material Defect,37,2023-10-09,INS09,Scrap
DEF000321,PO0004084,MCH001,None,25,2024-10-07,INS07,Rework
DEF000322,PO0002921,MCH049,Surface Scratch,41,2024-10-25,INS07,Pending
DEF000323,PO0004494,MCH041,Surface Scratch,13,2023-02-26,INS03,Rework
DEF000324,PO0002403,MCH048,Assembly Fault,44,2024-05-02,INS06,Scrap
DEF000325,PO0002380,MCH040,Surface Scratch,11,2024-12-09,INS01,Pending
DEF000326,PO0002175,MCH049,Dimensional Error,45,2023-07-26,INS07,Accept
DEF000327,PO0004876,MCH012,Surface Scratch,21,2022-11-08,INS07,
DEF000328,PO0004718,MCH033,None,25,2024-06-27,INS05,
DEF000329,PO0002260,MCH001,None,5,2023-08-26,INS03,Pending
DEF000330,PO0001366,MCH003,Assembly Fault,18,2023-05-09,INS02,Accept
DEF000331,PO0003572,MCH006,Surface Scratch,11,2024-08-16,INS06,
DEF000332,PO0000021,MCH038,Color Mismatch,42,2024-10-02,INS10,
DEF000333,PO0001633,MCH025,Dimensional Error,1,2024-10-01,INS07,Accept
DEF000334,PO0001157,MCH003,Assembly Fault,22,2024-01-25,INS09,Scrap
DEF000335,PO0004864,MCH018,Dimensional Error,28,2024-03-31,INS01,Accept
DEF000336,PO0001288,MCH039,Surface Scratch,38,2023-06-30,INS07,Scrap
DEF000337,PO0000538,MCH014,None,12,2024-04-23,INS09,Scrap
DEF000338,PO0004725,MCH047,Surface Scratch,22,2022-06-01,INS04,Accept
DEF000339,PO0004836,MCH040,None,27,2024-12-24,INS01,Accept
DEF000340,PO0002518,MCH032,Surface Scratch,6,2024-09-11,INS02,Accept
DEF000341,PO0002729,MCH037,Color Mismatch,7,2024-04-14,INS07,Rework
DEF000342,PO0001857,MCH004,Color Mismatch,4,2023-12-16,INS01,Rework
DEF000343,PO0001380,MCH027,Surface Scratch,13,2024-11-10,INS09,Scrap
DEF000344,PO0003845,MCH042,None,39,2023-03-08,INS04,
DEF000345,PO0002882,MCH010,Surface Scratch,31,2024-02-14,INS03,Accept
DEF000346,PO0001162,MCH004,Color Mismatch,2,2024-10-10,INS06,Rework
DEF000347,PO0003645,MCH041,Dimensional Error,8,2022-03-07,INS04,Pending
DEF000348,PO0000597,MCH019,Dimensional Error,24,2024-02-02,INS08,Accept
DEF000349,PO0000480,MCH040,Color Mismatch,16,2021-07-13,INS05,Rework
DEF000350,PO0004651,MCH009,Surface Scratch,17,2023-12-23,INS08,Rework
