order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_country,freight
10035,NW0009,3,2024-11-10,2022-02-27,2022-04-26,France,95.94
10036,NW0003,6,2023-11-11,2021-05-27,2022-10-28,UK,39.97
10037,NW0009,2,2022-08-10,2021-02-02,2021-11-27,Canada,155.78
10038,NW0010,9,2023-04-19,2023-05-17,2021-09-18,Canada,180.2
10039,NW0009,2,2022-09-14,2021-03-19,2023-01-14,Germany,168.58
10040,NW0005,8,2022-04-30,2021-10-26,2023-10-15,Germany,22.8
10041,NW0007,1,2022-03-24,2024-10-30,2023-10-14,Mexico,183.48
10042,NW0008,2,2024-04-28,2024-07-22,2021-02-04,Canada,136.3
10043,NW0010,3,2024-04-06,2021-08-22,2023-01-05,Germany,72.61
10044,NW0006,3,2022-07-23,2024-11-29,2024-06-23,Canada,15.49
10045,NW0004,5,2021-12-16,2024-06-16,2022-12-26,France,118.1
10046,NW0010,8,2023-05-27,2021-01-18,2024-10-08,Sweden,63.26
10047,NW0006,1,2023-04-13,2021-09-30,2024-06-08,Germany,172.04
10048,NW0006,5,2023-07-05,2021-11-26,2022-12-17,Mexico,113.05
10049,NW0003,4,2022-07-03,2023-03-10,2022-11-09,Canada,42.65
10050,NW0010,6,2024-08-10,2024-01-24,2021-09-07,Canada,41.75
10051,NW0008,2,2024-07-26,2021-08-22,2024-10-25,Germany,80.31
10052,NW0001,9,2022-08-28,2021-06-08,2024-04-07,Canada,37.69
10053,NW0010,4,2021-07-13,2024-08-12,2024-06-06,Spain,50.17
10054,NW0002,7,2024-05-08,2022-04-21,2021-01-31,Sweden,50.51
10055,NW0004,6,2021-01-21,2024-02-12,2022-11-05,France,31.49
10056,NW0002,3,2024-01-31,2023-05-27,2021-06-14,Germany,166.13
10057,NW0010,4,2022-08-19,2024-03-13,2024-08-27,Germany,47.38
10058,NW0007,6,2023-08-23,2023-04-29,2024-05-28,France,185.76
10059,NW0003,1,2023-02-20,2022-03-09,2022-06-28,Spain,128.89
10060,NW0006,6,2022-12-24,2021-02-08,2022-07-29,France,27.59
10061,NW0008,6,2024-10-01,2021-10-26,2023-11-16,Spain,189.72
10062,NW0002,7,2022-11-23,2021-09-27,2021-05-17,France,185.13
10063,NW0006,5,2024-03-18,2024-06-08,2021-12-19,UK,176.85
10064,NW0008,7,2024-05-02,2024-07-08,2024-06-15,Mexico,65.02
10065,NW0002,8,2021-08-07,2024-02-04,2024-02-12,Spain,74.84
10066,NW0002,8,2021-12-31,2023-03-29,2024-05-20,Germany,51.57
10067,NW0004,6,2023-10-28,2024-05-26,2022-06-08,Spain,3.7
10068,NW0008,9,2021-06-04,2022-08-23,2021-04-27,France,14.4
10069,NW0009,5,2022-05-07,2021-12-18,2022-11-06,Germany,197.64
10070,NW0008,1,2023-06-30,2021-12-27,2022-01-23,Germany,63.46
10071,NW0007,5,2023-05-05,2024-11-24,2023-07-28,Germany,116.61
10072,NW0007,6,2023-02-10,2024-05-12,2024-08-27,Germany,191.58
10073,NW0007,5,2022-11-19,2021-11-04,2022-06-16,Canada,22.91
10074,NW0008,4,2023-09-18,2021-10-22,2023-01-19,Mexico,54.78
10075,NW0007,1,2023-06-02,2023-01-16,2023-05-02,UK,165.01
10076,NW0005,2,2024-05-31,2023-11-15,2023-09-07,Mexico,147.36
10077,NW0003,4,2022-03-28,2022-10-17,2021-10-18,Germany,122.83
10078,NW0010,1,2022-12-02,2024-10-21,2024-08-08,Mexico,111.19
10079,NW0008,7,2021-09-10,2022-07-27,2021-08-07,Sweden,170.33
10080,NW0005,5,2022-07-01,2023-10-10,2023-12-20,Germany,115.12
10081,NW0007,6,2024-12-26,2023-05-15,2021-07-17,Germany,78.4
10082,NW0004,5,2023-09-24,2021-03-07,2023-09-25,France,10.86
10083,NW0003,8,2024-03-25,2021-06-12,2022-01-20,France,147.98
10084,NW0004,1,2023-09-23,2022-05-31,2024-06-05,Germany,173.59
10085,NW0002,7,2023-04-13,2024-05-20,2024-12-09,Spain,18.41
10086,NW0008,8,2024-04-11,2023-08-13,2022-01-12,Sweden,188.18
10087,NW0004,1,2024-12-14,2024-05-03,2023-09-03,Germany,59.99
10088,NW0009,6,2024-05-05,2023-07-16,2024-12-02,Canada,154.54
10089,NW0002,3,2024-04-12,2024-06-22,2024-07-18,UK,27.42
10090,NW0007,3,2021-08-02,2021-03-09,2021-05-16,Mexico,144.87
10091,NW0003,8,2022-06-16,2022-10-18,2024-01-13,France,139.31
10092,NW0010,6,2022-12-16,2023-07-11,2024-03-27,Sweden,96.8
10093,NW0002,7,2022-03-10,2022-03-07,2021-08-21,France,191.3
10094,NW0002,7,2024-05-28,2021-11-19,2023-04-14,Mexico,182.37
10095,NW0010,2,2024-03-02,2024-02-08,2024-10-14,France,28.86
10096,NW0007,1,2022-10-10,2024-06-18,2021-07-13,Spain,147.74
10097,NW0002,5,2022-09-11,2024-11-09,2022-10-26,Mexico,140.88
10098,NW0001,2,2024-01-24,2021-10-22,2024-07-19,Mexico,85.62
10099,NW0002,2,2022-08-27,2024-10-17,2024-12-28,France,121.46
10100,NW0008,6,2022-01-10,2024-05-09,2022-11-24,UK,40.88
10101,NW0007,6,2024-01-20,2024-05-27,2024-12-02,Sweden,182.6
10102,NW0006,3,2023-07-06,2021-08-18,2023-07-01,Spain,40.29
10103,NW0009,3,2024-12-21,2021-09-03,2023-05-02,Mexico,138.06
10104,NW0010,5,2023-04-17,2023-08-29,2024-03-25,Mexico,57.61
10105,NW0009,4,2021-03-11,2023-05-18,2021-09-17,France,177.02
10106,NW0008,9,2024-10-21,2024-01-07,2021-07-01,Sweden,93.4
10107,NW0001,7,2023-04-12,2021-03-17,2023-04-20,France,155.17
10108,NW0001,9,2024-07-17,2022-02-12,2022-02-08,Germany,2.32
10109,NW0003,4,2024-11-11,2021-04-25,2024-11-19,France,96.37
10110,NW0005,5,2024-06-01,2022-08-01,2023-04-21,Sweden,96.86
10111,NW0009,4,2022-09-08,2024-04-13,2021-08-17,Mexico,167.72
10112,NW0004,5,2023-01-07,2024-09-18,2021-08-26,France,20.66
10113,NW0008,9,2023-07-22,2023-11-19,2023-09-08,Mexico,107.69
10114,NW0010,2,2023-01-02,2024-08-29,2024-04-29,Germany,163.11
10115,NW0002,1,2022-09-09,2021-06-25,2021-01-20,France,118.88
10116,NW0003,9,2023-01-23,2024-10-13,2023-06-23,Spain,106.94
10117,NW0005,5,2021-03-13,2024-10-28,2022-02-06,France,183.11
10118,NW0004,9,2021-08-28,2021-01-21,2023-01-16,Mexico,196.92
10119,NW0003,5,2024-06-02,2024-04-14,2022-06-23,Germany,107.49
10120,NW0006,7,2024-06-07,2024-12-15,2023-09-20,Mexico,32.99
10121,NW0004,8,2021-05-23,2023-10-30,2021-07-29,Germany,96.63
10122,NW0006,6,2021-02-06,2024-03-24,2024-08-07,Germany,35.51
10123,NW0007,6,2021-03-29,2024-05-04,2021-04-22,Mexico,59.38
10124,NW0001,3,2021-12-23,2022-03-04,2023-11-05,France,156.59
10125,NW0009,4,2024-01-18,2024-02-02,2023-11-29,Germany,28.88
10126,NW0004,6,2023-08-31,2021-05-28,2021-09-25,Sweden,24.01
10127,NW0006,6,2021-09-26,2024-01-01,2024-11-07,France,163.89
10128,NW0001,5,2021-07-10,2021-07-27,2023-05-17,Spain,195.95
10129,NW0005,7,2023-10-05,2021-11-08,2021-04-17,UK,4.99
10130,NW0005,3,2022-06-03,2022-10-01,2021-03-23,Canada,164.2
10131,NW0004,5,2023-11-23,2021-02-26,2023-11-22,Spain,184.39
10132,NW0005,6,2022-10-03,2024-01-10,2023-11-09,Mexico,62.89
10133,NW0007,8,2024-01-01,2022-09-23,2022-02-22,France,119.17
10134,NW0009,5,2024-02-26,2022-09-19,2023-09-13,Canada,116.29
10135,NW0009,2,2024-08-21,2021-06-23,2021-04-24,Spain,73.46
10136,NW0001,7,2022-04-13,2023-06-13,2021-10-02,France,12.42
10137,NW0009,7,2023-08-30,2022-02-21,2022-04-26,Sweden,81.39
10138,NW0008,9,2024-08-17,2022-01-30,2021-02-09,Spain,189.5
10139,NW0009,3,2023-06-01,2023-01-21,2024-12-01,France,90.71
10140,NW0005,5,2021-05-10,2024-06-25,2021-11-19,Canada,157.69
10141,NW0003,8,2023-05-01,2024-02-16,2021-07-27,Mexico,192.93
10142,NW0009,2,2021-05-18,2022-06-07,2024-07-29,Canada,6.16
10143,NW0008,5,2022-01-09,2022-12-23,2021-12-16,France,26.96
10144,NW0010,8,2023-11-06,2022-01-06,2024-07-05,France,44.98
10145,NW0001,4,2022-12-20,2021-07-03,2024-01-28,Germany,125.81
10146,NW0008,6,2021-03-21,2022-09-10,2024-10-17,Canada,102.96
10147,NW0004,1,2023-06-29,2024-10-29,2024-02-20,Spain,134.02
10148,NW0005,2,2021-05-09,2024-11-06,2023-10-27,UK,115.13
10149,NW0007,6,2023-10-06,2024-09-28,2022-06-10,UK,114.97
10150,NW0009,4,2023-10-20,2022-09-18,2024-11-22,Germany,161.96
10151,NW0007,3,2022-03-25,2022-09-18,2023-04-17,Sweden,71.49
10152,NW0002,8,2022-01-31,2021-07-25,2023-03-24,Sweden,49.42
10153,NW0002,7,2021-01-03,2021-12-15,2021-10-17,France,165.77
10154,NW0008,3,2023-06-25,2023-04-03,2023-04-02,Mexico,16.49
10155,NW0007,1,2023-04-19,2021-02-02,2021-07-29,Germany,35.69
10156,NW0004,6,2024-04-07,2021-11-21,2023-12-14,Sweden,75.58
10157,NW0004,3,2023-08-11,2022-02-18,2022-05-04,Canada,146.72
10158,NW0008,7,2021-08-09,2021-06-02,2023-02-27,Mexico,63.5
10159,NW0003,7,2023-05-05,2022-01-25,2024-10-02,Canada,139.85
10160,NW0007,8,2021-05-18,2023-04-13,2024-06-27,Spain,162.5
10161,NW0010,8,2024-04-01,2021-02-22,2024-04-07,France,59.41
10162,NW0003,5,2021-06-19,2021-08-04,2023-03-29,Spain,140.52
10163,NW0003,1,2022-02-05,2022-10-23,2023-09-23,Mexico,179.12
10164,NW0002,4,2024-08-15,2023-11-07,2022-07-17,Mexico,191.48
10165,NW0010,6,2022-08-19,2022-09-24,2024-01-19,Germany,38.74
10166,NW0002,8,2022-11-03,2023-08-30,2021-10-20,Canada,104.08
10167,NW0010,2,2022-02-23,2024-12-30,2021-09-27,Germany,73.52
10168,NW0004,4,2022-03-28,2024-11-29,2023-05-09,Mexico,131.2
10169,NW0009,2,2022-10-25,2022-04-25,2023-12-02,UK,32.77
10170,NW0008,9,2024-06-08,2021-12-07,2023-10-10,France,47.85
10171,NW0006,4,2024-08-08,2022-03-16,2021-01-20,Mexico,107.95
10172,NW0010,9,2021-10-16,2023-04-06,2024-12-01,France,28.28
10173,NW0002,7,2024-03-02,2022-02-06,2023-05-27,Germany,116.4
10174,NW0001,7,2024-06-11,2024-10-06,2024-11-04,Sweden,90.27
10175,NW0002,9,2023-12-25,2023-02-24,2021-08-29,UK,29.74
10176,NW0010,9,2021-10-24,2024-08-14,2022-11-07,France,115.56
10177,NW0002,8,2022-07-10,2022-08-16,2021-01-29,Germany,51.85
10178,NW0005,2,2023-07-25,2023-09-14,2023-10-20,Mexico,22.8
10179,NW0010,9,2021-07-28,2021-01-08,2022-11-14,Mexico,47.23
10180,NW0007,5,2022-08-05,2021-06-03,2021-05-02,Spain,37.37
10181,NW0006,1,2023-12-04,2021-10-28,2023-05-25,Mexico,128.44
10182,NW0002,6,2021-05-23,2024-08-24,2024-08-07,Mexico,145.12
10183,NW0007,8,2023-10-09,2021-02-26,2024-04-07,UK,158.35
10184,NW0010,6,2023-12-10,2024-09-25,2022-09-20,Spain,180.79
10185,NW0007,2,2021-12-06,2022-07-12,2024-05-11,UK,69.33
10186,NW0001,1,2023-11-01,2024-05-13,2022-02-25,France,195.26
10187,NW0008,4,2024-11-24,2022-07-02,2023-03-29,Mexico,32.61
10188,NW0005,2,2024-02-10,2023-10-02,2022-03-19,Germany,178.39
10189,NW0008,1,2023-03-15,2021-08-28,2023-05-11,Canada,178.63
10190,NW0004,2,2023-09-25,2022-09-16,2021-12-17,Canada,116.35
10191,NW0004,7,2023-03-15,2021-10-12,2023-07-14,France,98.59
10192,NW0008,2,2022-02-02,2024-12-28,2024-10-24,Mexico,32.38
10193,NW0002,6,2023-08-28,2022-10-11,2022-10-10,Germany,180.12
10194,NW0005,7,2022-10-28,2023-10-17,2022-11-04,Spain,183.85
10195,NW0001,1,2022-08-04,2023-11-28,2022-12-20,Mexico,63.74
10196,NW0001,7,2022-10-11,2023-01-03,2021-06-03,France,128.12
10197,NW0006,1,2023-09-03,2021-02-02,2022-06-19,France,118.88
10198,NW0005,4,2024-07-23,2021-11-29,2022-09-29,Sweden,108.96
10199,NW0009,5,2023-12-20,2021-01-11,2021-01-07,Germany,2.6
10200,NW0010,7,2021-10-26,2022-09-30,2022-10-27,Germany,4.78
10201,NW0005,7,2022-06-28,2024-03-26,2022-09-30,Germany,49.64
10202,NW0005,1,2021-08-16,2022-08-16,2024-01-13,Spain,119.83
10203,NW0008,1,2023-04-03,2023-06-09,2022-12-15,Germany,155.98
10204,NW0003,9,2024-10-10,2022-10-23,2021-12-21,Spain,34.17
10205,NW0009,4,2021-11-08,2022-11-12,2023-08-24,Mexico,155.28
10206,NW0006,4,2021-06-04,2022-10-15,2021-01-10,Canada,54.13
10207,NW0009,2,2023-06-23,2022-03-31,2024-04-06,UK,19.67
10208,NW0003,2,2021-01-09,2024-04-05,2021-04-25,UK,6.5
10209,NW0010,6,2021-10-27,2024-08-02,2021-01-06,France,81.46
10210,NW0006,3,2022-10-11,2023-07-06,2023-12-17,Sweden,81.71
10211,NW0002,2,2024-09-16,2021-01-08,2022-12-06,Mexico,79.53
10212,NW0009,3,2023-03-08,2022-03-06,2023-07-23,UK,189.01
10213,NW0008,1,2022-06-17,2022-07-03,2024-11-24,Germany,122.29
10214,NW0007,7,2022-01-08,2021-05-05,2021-06-06,UK,161.76
10215,NW0006,1,2023-09-16,2022-05-31,2023-01-12,France,67.54
10216,NW0006,5,2022-11-28,2024-09-21,2024-09-04,Sweden,109.01
10217,NW0009,2,2024-02-14,2022-10-17,2024-09-19,Mexico,54.65
10218,NW0003,3,2023-05-27,2023-08-01,2021-08-14,Mexico,87.9
10219,NW0001,4,2023-05-06,2024-05-11,2024-09-16,Mexico,133.34
10220,NW0008,4,2021-07-14,2024-04-22,2021-10-03,Mexico,136.06
10221,NW0002,6,2022-04-06,2024-01-22,2022-04-27,Germany,104.04
10222,NW0005,4,2021-06-27,2023-12-10,2021-02-26,Mexico,2.09
10223,NW0006,3,2024-12-13,2024-01-02,2021-08-06,Spain,51.86
10224,NW0001,3,2022-12-22,2021-07-08,2023-01-19,Germany,51.55
10225,NW0007,2,2022-12-11,2021-09-08,2024-04-03,Germany,30.21
10226,NW0004,4,2022-01-27,2023-08-30,2022-11-22,Germany,94.13
10227,NW0008,1,2024-04-29,2023-05-13,2023-02-10,Mexico,148.82
10228,NW0003,3,2022-05-06,2023-08-04,2021-03-24,Sweden,38.87
10229,NW0003,9,2023-10-31,2024-07-23,2021-12-04,Spain,143.71
10230,NW0005,1,2021-03-16,2024-10-10,2022-11-01,France,63.83
10231,NW0001,3,2022-01-16,2022-08-23,2021-05-17,France,108.73
10232,NW0009,7,2021-09-25,2024-10-26,2022-08-27,Canada,194.52
10233,NW0002,4,2023-05-14,2022-10-06,2021-12-08,France,13.7
10234,NW0006,3,2024-12-01,2024-07-21,2024-02-07,Sweden,43.92
10235,NW0006,8,2024-04-15,2024-05-07,2023-10-04,Spain,188.15
10236,NW0007,2,2023-11-05,2023-01-10,2021-10-13,Spain,34.28
10237,NW0003,7,2021-09-08,2024-05-31,2021-06-30,UK,175.25
10238,NW0003,7,2023-03-25,2024-03-10,2024-01-23,Sweden,29.24
10239,NW0004,6,2022-10-03,2024-12-23,2022-07-20,Spain,131.19
10240,NW0002,5,2024-06-28,2024-01-31,2024-06-05,France,19.28
10241,NW0008,5,2023-09-13,2022-06-27,2023-03-26,France,190.1
10242,NW0008,2,2022-11-06,2024-03-14,2023-02-26,Spain,154.92
10243,NW0004,4,2023-04-10,2024-07-20,2024-10-18,Mexico,120.2
10244,NW0006,9,2023-06-23,2021-07-22,2021-10-30,UK,195.33
10245,NW0008,9,2024-02-01,2024-08-07,2024-05-28,Germany,109.93
10246,NW0001,9,2021-01-28,2023-05-10,2023-05-09,Mexico,111.44
10247,NW0004,7,2022-12-20,2021-08-08,2023-05-10,Germany,136.29
10248,NW0005,3,2022-09-02,2024-11-03,2021-09-22,France,120.62
10249,NW0007,7,2022-03-26,2023-07-13,2024-12-19,France,114.02
10250,NW0003,7,2024-09-08,2023-08-03,2022-03-30,Spain,101.45
10251,NW0002,6,2021-09-30,2021-06-20,2023-08-02,Germany,39.56
10252,NW0005,4,2022-12-17,2021-06-08,2023-08-08,UK,171.34
10253,NW0002,9,2021-08-11,2024-11-16,2021-06-17,Spain,74.92
10254,NW0001,5,2023-10-16,2022-06-20,2024-03-18,France,93.49
10255,NW0006,3,2023-10-21,2022-09-01,2021-10-29,Mexico,136.18
10256,NW0005,7,2021-11-19,2023-03-13,2022-05-22,UK,45.35
10257,NW0001,6,2024-12-07,2022-09-09,2024-07-09,Mexico,159.68
10258,NW0007,6,2021-02-06,2024-01-01,2023-01-01,France,119.97
10259,NW0003,9,2021-10-16,2021-06-03,2024-05-13,Canada,47.89
10260,NW0006,5,2023-12-17,2024-01-21,2024-03-20,Mexico,162.08
10261,NW0008,2,2022-07-24,2024-05-17,2022-05-14,France,24.96
10262,NW0003,6,2022-12-26,2021-03-08,2021-08-27,France,24.68
10263,NW0004,9,2021-02-28,2024-02-29,2022-07-02,Spain,153.34
10264,NW0008,1,2024-02-10,2024-06-04,2022-10-02,France,167.36
10265,NW0006,6,2023-08-12,2022-05-30,2021-03-22,Germany,66.95
10266,NW0010,3,2022-07-17,2022-06-04,2021-04-09,Spain,16.66
10267,NW0006,5,2023-03-06,2023-04-01,2024-08-18,Spain,159.25
10268,NW0008,8,2022-08-24,2024-11-04,2022-12-30,Canada,150.78
10269,NW0008,6,2022-06-05,2021-08-14,2022-07-18,Canada,175.94
10270,NW0003,2,2021-12-15,2021-03-08,2023-04-18,Spain,137.11
10271,NW0001,7,2024-03-14,2022-12-16,2021-05-11,Germany,85.46
10272,NW0006,9,2022-08-29,2024-10-12,2023-02-04,Canada,75.64
10273,NW0005,6,2021-09-07,2022-11-26,2021-07-02,Germany,87.57
10274,NW0006,9,2024-03-21,2021-10-06,2021-09-14,UK,109.45
10275,NW0009,5,2021-07-21,2021-04-29,2023-02-14,Sweden,184.97
10276,NW0001,1,2024-12-06,2024-06-21,2021-01-13,UK,144.09
10277,NW0009,2,2024-06-23,2024-04-06,2021-04-24,Canada,67.46
10278,NW0006,9,2022-05-08,2023-06-20,2024-07-27,Germany,126.3
10279,NW0005,5,2023-12-13,2023-04-19,2023-03-25,UK,18.76
10280,NW0008,8,2024-07-23,2024-10-11,2024-06-30,UK,57.65
10281,NW0009,7,2023-05-16,2023-06-01,2022-02-07,France,168.52
10282,NW0007,8,2022-02-26,2024-05-23,2022-09-16,Mexico,131.29
10283,NW0010,9,2023-01-27,2021-05-21,2023-11-03,Spain,99.62
10284,NW0008,7,2021-07-15,2022-06-11,2024-01-23,Mexico,90.06
10285,NW0002,3,2024-07-09,2021-02-11,2024-06-11,Mexico,156.3
10286,NW0005,1,2024-08-19,2022-11-20,2024-01-22,Germany,99.03
10287,NW0005,2,2024-07-13,2023-07-02,2021-08-30,Mexico,60.89
10288,NW0006,4,2021-09-22,2024-03-19,2022-07-13,UK,93.37
10289,NW0002,6,2023-09-02,2022-09-08,2021-03-01,Germany,62.15
10290,NW0002,9,2021-10-25,2024-04-19,2021-08-09,France,64.28
10291,NW0010,6,2024-09-16,2023-06-25,2024-03-06,Sweden,179.53
10292,NW0009,3,2024-09-09,2024-10-19,2021-05-29,Sweden,164.57
10293,NW0004,9,2024-09-26,2023-05-05,2023-01-01,France,142.03
10294,NW0010,1,2024-08-12,2024-11-15,2022-04-16,France,156.42
10295,NW0005,3,2022-04-09,2021-06-21,2024-03-13,Canada,179.52
10296,NW0004,1,2022-06-16,2023-06-04,2021-08-06,Spain,14.29
10297,NW0005,2,2024-02-22,2022-12-06,2024-09-09,France,132.45
10298,NW0004,7,2021-11-28,2023-11-27,2022-03-02,Mexico,57.52
10299,NW0001,2,2023-02-05,2023-12-05,2023-11-12,France,45.56
10300,NW0003,1,2023-03-01,2021-03-07,2021-01-24,Mexico,138.65
10301,NW0010,6,2022-05-26,2024-09-11,2024-04-28,Mexico,103.17
10302,NW0007,5,2024-06-14,2024-03-01,2024-11-13,Mexico,113.45
10303,NW0002,7,2021-02-21,2021-11-18,2022-09-02,Canada,147.85
10304,NW0008,8,2024-01-05,2022-10-31,2024-03-23,Mexico,189.92
10305,NW0003,4,2024-11-25,2024-08-31,2023-12-22,Germany,14.41
10306,NW0007,8,2022-09-28,2024-06-16,2021-05-01,Spain,135.63
10307,NW0002,7,2023-04-02,2024-09-28,2022-10-06,Germany,180.6
10308,NW0006,5,2022-03-21,2022-08-14,2023-11-16,Canada,168.19
10309,NW0008,5,2021-05-06,2024-04-22,2021-12-02,Germany,79.83
10310,NW0005,9,2024-07-31,2021-12-07,2023-01-28,France,172.16
10311,NW0003,6,2022-09-28,2022-06-29,2024-12-28,Canada,79.22
10312,NW0004,1,2022-11-21,2021-01-13,2024-06-28,Germany,26.65
10313,NW0009,8,2022-12-20,2022-04-26,2024-04-17,Germany,163.01
10314,NW0009,5,2022-04-18,2024-07-21,2022-01-19,Mexico,199.54
10315,NW0006,5,2022-01-09,2021-03-06,2021-11-28,Mexico,108.45
10316,NW0007,9,2023-05-14,2024-10-19,2023-08-08,Mexico,110.26
10317,NW0006,3,2023-05-26,2024-01-06,2024-02-16,Germany,30.13
10318,NW0006,9,2024-10-28,2023-09-13,2024-07-01,Spain,42.7
10319,NW0009,2,2021-01-13,2022-07-01,2024-11-08,Spain,23.63
10320,NW0007,2,2021-08-10,2023-04-06,2022-11-08,Sweden,40.33
10321,NW0002,1,2022-04-29,2024-02-07,2022-10-27,Mexico,52.29
10322,NW0002,7,2022-12-24,2023-12-08,2022-05-30,Mexico,106.27
10323,NW0001,9,2021-08-18,2022-04-05,2024-03-31,Canada,44.78
10324,NW0008,8,2021-08-08,2021-03-18,2024-09-02,Sweden,90.02
10325,NW0003,7,2024-11-24,2023-09-18,2023-10-19,Sweden,108.22
10326,NW0005,3,2024-01-01,2024-02-14,2022-12-23,Canada,101.25
10327,NW0010,8,2022-11-12,2024-03-31,2023-04-26,Germany,84.32
10328,NW0002,2,2022-04-21,2023-11-12,2022-01-30,Germany,102.35
10329,NW0008,7,2023-09-20,2024-09-06,2022-08-08,Canada,121.08
10330,NW0004,4,2024-11-28,2022-03-14,2021-04-26,Sweden,147.55
10331,NW0005,5,2021-02-27,2021-03-06,2023-01-30,Germany,189.56
10332,NW0003,1,2023-03-21,2024-10-20,2021-05-03,UK,174.57
10333,NW0009,9,2023-07-10,2021-09-04,2023-04-10,UK,97.32
10334,NW0003,6,2024-11-16,2024-09-21,2024-08-18,Germany,60.39
10335,NW0001,7,2022-12-15,2022-01-15,2022-04-29,UK,112.37
10336,NW0002,4,2024-09-04,2022-11-30,2024-04-24,Canada,9.93
10337,NW0002,2,2023-02-07,2021-11-24,2023-11-25,France,149.82
10338,NW0008,3,2024-05-28,2024-06-19,2021-04-05,France,44.84
10339,NW0009,6,2022-02-12,2022-06-14,2024-10-09,Mexico,107.14
10340,NW0002,9,2022-09-22,2023-10-10,2021-09-04,Mexico,58.63
10341,NW0001,6,2024-10-06,2022-01-15,2023-04-13,Germany,187.18
10342,NW0004,1,2023-07-03,2024-09-27,2022-09-26,Sweden,142.84
10343,NW0004,6,2022-02-02,2022-08-30,2023-11-12,Sweden,115.46
10344,NW0006,4,2024-02-16,2021-09-09,2024-02-02,UK,67.67
10345,NW0004,8,2022-06-03,2021-12-19,2022-09-19,Canada,148.57
10346,NW0010,1,2024-04-13,2022-10-28,2021-06-30,Mexico,154.21
10347,NW0002,8,2023-09-05,2024-09-14,2021-09-17,Germany,102.43
10348,NW0008,9,2022-11-09,2024-09-28,2021-11-16,Sweden,182.06
10349,NW0005,5,2021-04-26,2022-11-17,2024-08-23,UK,189.05
10350,NW0003,3,2021-11-16,2023-06-18,2024-05-24,France,8.68
10351,NW0005,3,2024-12-26,2021-02-09,2021-06-09,Sweden,102.28
10352,NW0001,8,2024-06-11,2023-10-30,2021-09-04,Canada,26.09
10353,NW0004,1,2022-05-07,2021-08-04,2024-02-03,Spain,70.22
10354,NW0002,3,2021-12-31,2022-08-22,2021-12-13,Canada,74.29
10355,NW0004,8,2024-07-09,2022-03-12,2024-11-04,Canada,46.83
10356,NW0005,9,2023-10-05,2023-06-10,2023-08-12,Sweden,80.84
10357,NW0007,4,2023-07-01,2021-07-07,2021-10-15,France,26.51
10358,NW0005,7,2023-08-25,2021-06-12,2021-12-26,France,166.66
