order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000096,1,boleto,8,751.09
ORD0000097,1,boleto,6,812.81
ORD0000098,1,credit_card,10,829.53
ORD0000099,1,debit_card,5,496.51
ORD0000100,1,credit_card,5,1437.2
ORD0000101,1,boleto,9,1534.39
ORD0000102,1,voucher,11,1444.72
ORD0000103,1,voucher,4,340.17
ORD0000104,1,voucher,11,1362.48
ORD0000105,1,boleto,11,1940.18
ORD0000106,1,voucher,10,993.52
ORD0000107,1,debit_card,11,1077.57
ORD0000108,1,voucher,3,961.43
ORD0000109,1,credit_card,7,938.43
ORD0000110,1,credit_card,11,1565.36
ORD0000111,1,debit_card,6,86.12
ORD0000112,1,voucher,10,801.62
ORD0000113,1,debit_card,1,133.52
ORD0000114,1,voucher,10,731.91
ORD0000115,1,debit_card,11,1568.0
ORD0000116,1,boleto,9,918.14
ORD0000117,1,credit_card,8,1798.21
ORD0000118,1,credit_card,2,1883.66
ORD0000119,1,debit_card,10,1136.29
ORD0000120,1,voucher,6,678.16
ORD0000121,1,credit_card,9,1219.79
ORD0000122,1,boleto,9,72.15
ORD0000123,1,credit_card,8,899.35
ORD0000124,1,credit_card,6,845.89
ORD0000125,1,credit_card,10,1431.64
ORD0000126,1,debit_card,4,1158.17
ORD0000127,1,voucher,6,764.6
ORD0000128,1,debit_card,5,1878.73
ORD0000129,1,boleto,10,1251.02
ORD0000130,1,voucher,9,1590.99
ORD0000131,1,voucher,9,449.02
ORD0000132,1,credit_card,5,1664.69
ORD0000133,1,boleto,8,136.71
ORD0000134,1,debit_card,9,1881.04
ORD0000135,1,credit_card,9,755.85
ORD0000136,1,credit_card,9,1568.11
ORD0000137,1,debit_card,2,736.98
ORD0000138,1,voucher,7,1871.94
ORD0000139,1,voucher,3,970.96
ORD0000140,1,debit_card,3,1742.36
ORD0000141,1,boleto,3,996.36
ORD0000142,1,credit_card,1,1137.58
ORD0000143,1,debit_card,8,1523.84
ORD0000144,1,boleto,2,1038.96
ORD0000145,1,debit_card,2,1655.4
ORD0000146,1,voucher,3,1792.88
ORD0000147,1,debit_card,1,483.21
ORD0000148,1,boleto,12,679.67
ORD0000149,1,debit_card,2,271.71
ORD0000150,1,credit_card,9,1675.88
ORD0000151,1,credit_card,3,1274.05
ORD0000152,1,debit_card,12,1290.51
ORD0000153,1,debit_card,12,1540.77
ORD0000154,1,credit_card,3,1205.04
ORD0000155,1,debit_card,3,188.78
ORD0000156,1,credit_card,1,1849.43
ORD0000157,1,boleto,5,1214.49
ORD0000158,1,debit_card,9,1794.81
ORD0000159,1,credit_card,9,882.48
ORD0000160,1,credit_card,4,1061.0
ORD0000161,1,debit_card,7,1840.55
ORD0000162,1,credit_card,7,970.18
ORD0000163,1,boleto,3,785.62
ORD0000164,1,voucher,6,297.73
ORD0000165,1,credit_card,9,1184.86
ORD0000166,1,credit_card,10,936.05
ORD0000167,1,debit_card,1,1929.85
ORD0000168,1,boleto,4,820.05
ORD0000169,1,boleto,8,874.63
ORD0000170,1,debit_card,11,319.68
ORD0000171,1,boleto,1,591.9
ORD0000172,1,voucher,9,1670.76
ORD0000173,1,credit_card,1,552.82
ORD0000174,1,voucher,5,541.59
ORD0000175,1,boleto,12,224.56
ORD0000176,1,credit_card,6,637.75
ORD0000177,1,boleto,10,1506.17
ORD0000178,1,debit_card,10,817.17
ORD0000179,1,credit_card,7,989.48
ORD0000180,1,voucher,10,1284.66
ORD0000181,1,debit_card,2,972.32
ORD0000182,1,credit_card,4,1071.9
ORD0000183,1,boleto,5,766.85
ORD0000184,1,voucher,8,638.82
ORD0000185,1,voucher,11,336.76
ORD0000186,1,debit_card,6,1474.35
ORD0000187,1,debit_card,12,407.42
ORD0000188,1,voucher,4,657.02
ORD0000189,1,credit_card,11,1176.79
ORD0000190,1,debit_card,6,819.66
ORD0000191,1,debit_card,7,1280.38
ORD0000192,1,boleto,4,401.43
ORD0000193,1,voucher,3,1849.28
ORD0000194,1,voucher,12,1173.02
ORD0000195,1,voucher,11,211.55
ORD0000196,1,boleto,2,1529.28
ORD0000197,1,debit_card,3,543.22
ORD0000198,1,credit_card,10,668.09
ORD0000199,1,debit_card,1,343.4
ORD0000200,1,credit_card,9,1615.02
ORD0000201,1,debit_card,5,69.58
ORD0000202,1,credit_card,2,757.72
ORD0000203,1,debit_card,6,40.08
ORD0000204,1,voucher,3,1716.48
ORD0000205,1,voucher,11,569.88
ORD0000206,1,voucher,5,1304.71
ORD0000207,1,voucher,3,1448.93
ORD0000208,1,debit_card,5,1651.01
ORD0000209,1,debit_card,8,590.2
ORD0000210,1,credit_card,5,345.25
ORD0000211,1,voucher,2,618.82
ORD0000212,1,debit_card,11,1402.22
ORD0000213,1,credit_card,3,1278.75
ORD0000214,1,credit_card,2,1638.79
ORD0000215,1,debit_card,4,287.35
ORD0000216,1,voucher,1,1087.36
ORD0000217,1,credit_card,1,1233.3
ORD0000218,1,credit_card,5,926.89
ORD0000219,1,voucher,7,949.63
ORD0000220,1,boleto,9,1610.22
ORD0000221,1,boleto,9,798.75
ORD0000222,1,voucher,4,1199.84
ORD0000223,1,debit_card,11,126.27
ORD0000224,1,boleto,10,161.06
ORD0000225,1,voucher,4,1209.76
ORD0000226,1,debit_card,1,1022.22
ORD0000227,1,voucher,9,1185.0
ORD0000228,1,boleto,6,78.57
ORD0000229,1,boleto,1,1023.59
ORD0000230,1,credit_card,4,1679.57
ORD0000231,1,boleto,10,560.07
ORD0000232,1,voucher,2,84.85
ORD0000233,1,debit_card,10,1651.72
ORD0000234,1,credit_card,11,104.88
ORD0000235,1,boleto,6,437.5
ORD0000236,1,debit_card,5,1969.05
ORD0000237,1,voucher,5,1940.51
ORD0000238,1,voucher,9,654.97
ORD0000239,1,credit_card,11,812.79
ORD0000240,1,voucher,1,71.75
ORD0000241,1,credit_card,1,1728.23
ORD0000242,1,boleto,12,528.89
ORD0000243,1,voucher,1,895.99
ORD0000244,1,debit_card,3,361.35
ORD0000245,1,voucher,9,1413.03
ORD0000246,1,debit_card,5,1696.85
ORD0000247,1,boleto,7,247.74
ORD0000248,1,voucher,2,577.09
ORD0000249,1,boleto,6,1715.45
ORD0000250,1,credit_card,4,722.6
ORD0000251,1,boleto,9,612.61
ORD0000252,1,debit_card,1,714.35
ORD0000253,1,debit_card,9,1678.89
ORD0000254,1,credit_card,7,163.73
ORD0000255,1,debit_card,9,962.34
ORD0000256,1,boleto,7,300.75
ORD0000257,1,debit_card,9,1299.12
ORD0000258,1,voucher,2,875.55
ORD0000259,1,credit_card,9,611.44
ORD0000260,1,debit_card,3,734.26
ORD0000261,1,boleto,10,364.18
ORD0000262,1,debit_card,11,1856.17
ORD0000263,1,boleto,5,1511.32
ORD0000264,1,boleto,1,71.56
ORD0000265,1,credit_card,1,1033.15
ORD0000266,1,boleto,5,678.93
ORD0000267,1,debit_card,9,1481.09
ORD0000268,1,debit_card,3,299.0
ORD0000269,1,debit_card,6,763.85
ORD0000270,1,credit_card,9,833.69
ORD0000271,1,credit_card,10,1736.68
ORD0000272,1,credit_card,4,1921.48
ORD0000273,1,credit_card,1,670.56
ORD0000274,1,credit_card,3,795.91
ORD0000275,1,boleto,4,977.85
ORD0000276,1,credit_card,12,1955.56
ORD0000277,1,boleto,9,1594.76
ORD0000278,1,debit_card,6,1778.05
ORD0000279,1,boleto,4,907.6
ORD0000280,1,boleto,11,643.62
ORD0000281,1,voucher,3,1156.21
ORD0000282,1,debit_card,7,1304.5
ORD0000283,1,boleto,2,496.89
ORD0000284,1,debit_card,7,1302.11
ORD0000285,1,debit_card,6,1349.67
ORD0000286,1,credit_card,6,536.93
ORD0000287,1,credit_card,10,1894.65
ORD0000288,1,credit_card,10,698.51
ORD0000289,1,boleto,5,1220.41
ORD0000290,1,voucher,3,1232.95
ORD0000291,1,debit_card,1,138.05
ORD0000292,1,credit_card,6,309.2
ORD0000293,1,boleto,9,971.54
ORD0000294,1,boleto,2,604.52
ORD0000295,1,voucher,10,271.0
ORD0000296,1,debit_card,6,1303.04
ORD0000297,1,voucher,3,377.58
ORD0000298,1,credit_card,8,496.26
ORD0000299,1,debit_card,8,841.04
ORD0000300,1,voucher,8,1005.81
ORD0000301,1,debit_card,2,125.38
ORD0000302,1,credit_card,1,497.03
ORD0000303,1,credit_card,12,954.03
ORD0000304,1,credit_card,3,1340.53
ORD0000305,1,debit_card,9,1863.98
ORD0000306,1,credit_card,4,350.95
ORD0000307,1,boleto,2,418.0
ORD0000308,1,boleto,2,1089.74
ORD0000309,1,voucher,4,1746.2
ORD0000310,1,debit_card,5,1780.61
ORD0000311,1,debit_card,4,128.2
ORD0000312,1,voucher,2,439.48
ORD0000313,1,credit_card,5,957.79
ORD0000314,1,voucher,12,121.0
ORD0000315,1,voucher,5,787.35
ORD0000316,1,credit_card,8,785.6
ORD0000317,1,credit_card,11,1955.55
ORD0000318,1,credit_card,9,1135.83
ORD0000319,1,debit_card,2,988.15
ORD0000320,1,boleto,4,1739.84
ORD0000321,1,debit_card,2,1641.24
ORD0000322,1,boleto,10,1633.92
ORD0000323,1,credit_card,8,1066.19
ORD0000324,1,voucher,8,1747.98
ORD0000325,1,voucher,1,241.58
ORD0000326,1,voucher,2,1950.37
ORD0000327,1,voucher,1,1831.24
ORD0000328,1,debit_card,1,311.02
ORD0000329,1,debit_card,6,1553.21
ORD0000330,1,voucher,9,1337.35
ORD0000331,1,debit_card,4,735.76
ORD0000332,1,debit_card,10,1139.11
ORD0000333,1,boleto,9,386.3
ORD0000334,1,credit_card,6,1887.44
ORD0000335,1,credit_card,11,1686.75
ORD0000336,1,debit_card,4,1809.15
ORD0000337,1,voucher,2,1687.32
ORD0000338,1,boleto,1,1090.23
ORD0000339,1,debit_card,12,770.59
ORD0000340,1,debit_card,9,1481.03
ORD0000341,1,debit_card,1,1913.38
ORD0000342,1,voucher,5,1947.77
ORD0000343,1,voucher,7,1246.98
ORD0000344,1,boleto,5,502.47
ORD0000345,1,debit_card,5,1412.4
ORD0000346,1,voucher,7,762.75
ORD0000347,1,voucher,9,567.33
ORD0000348,1,credit_card,1,1429.72
ORD0000349,1,voucher,12,1067.74
ORD0000350,1,voucher,6,589.65
ORD0000351,1,credit_card,11,990.71
ORD0000352,1,credit_card,12,1066.77
ORD0000353,1,voucher,1,1557.0
ORD0000354,1,voucher,1,554.38
ORD0000355,1,boleto,2,23.77
ORD0000356,1,credit_card,7,317.53
ORD0000357,1,voucher,10,528.28
ORD0000358,1,voucher,5,1932.06
ORD0000359,1,credit_card,1,1694.28
ORD0000360,1,credit_card,4,982.38
ORD0000361,1,credit_card,7,1495.76
ORD0000362,1,boleto,3,1508.09
ORD0000363,1,debit_card,7,196.93
ORD0000364,1,credit_card,8,1591.93
ORD0000365,1,boleto,7,1112.88
ORD0000366,1,voucher,1,481.24
ORD0000367,1,debit_card,4,1550.23
ORD0000368,1,voucher,12,1025.46
ORD0000369,1,debit_card,10,1935.72
ORD0000370,1,boleto,9,1951.57
ORD0000371,1,debit_card,6,25.03
ORD0000372,1,debit_card,4,212.03
ORD0000373,1,credit_card,1,1007.69
ORD0000374,1,debit_card,12,497.79
ORD0000375,1,boleto,7,1666.38
ORD0000376,1,credit_card,11,1719.52
ORD0000377,1,credit_card,9,974.38
ORD0000378,1,debit_card,11,920.42
ORD0000379,1,boleto,3,1400.92
ORD0000380,1,debit_card,9,203.74
ORD0000381,1,voucher,12,881.22
ORD0000382,1,debit_card,11,681.94
ORD0000383,1,voucher,7,1666.14
ORD0000384,1,debit_card,3,1236.29
ORD0000385,1,credit_card,3,801.51
ORD0000386,1,boleto,4,1088.52
ORD0000387,1,boleto,3,1807.99
ORD0000388,1,debit_card,7,1147.47
ORD0000389,1,voucher,7,1792.15
ORD0000390,1,boleto,8,1832.83
ORD0000391,1,credit_card,6,443.16
ORD0000392,1,voucher,2,1675.0
ORD0000393,1,voucher,5,1672.52
ORD0000394,1,boleto,8,1547.52
ORD0000395,1,debit_card,10,1439.34
ORD0000396,1,boleto,7,1260.97
ORD0000397,1,debit_card,3,807.36
ORD0000398,1,credit_card,1,1169.31
ORD0000399,1,credit_card,4,1123.28
ORD0000400,1,voucher,1,1732.54
ORD0000401,1,credit_card,4,1312.22
ORD0000402,1,debit_card,11,1478.26
ORD0000403,1,voucher,8,678.9
ORD0000404,1,voucher,4,447.69
ORD0000405,1,voucher,2,1474.09
ORD0000406,1,debit_card,1,345.06
ORD0000407,1,credit_card,12,1883.03
ORD0000408,1,voucher,2,1743.61
ORD0000409,1,voucher,10,344.24
ORD0000410,1,credit_card,12,1539.01
ORD0000411,1,boleto,7,1028.79
ORD0000412,1,debit_card,2,1319.8
ORD0000413,1,debit_card,5,1404.0
ORD0000414,1,credit_card,10,285.72
ORD0000415,1,boleto,9,1151.88
ORD0000416,1,voucher,9,1436.7
ORD0000417,1,debit_card,3,744.18
ORD0000418,1,credit_card,6,760.86
ORD0000419,1,debit_card,3,349.29
ORD0000420,1,boleto,10,664.63
ORD0000421,1,boleto,8,345.23
ORD0000422,1,credit_card,7,1478.0
ORD0000423,1,debit_card,3,1864.63
ORD0000424,1,debit_card,1,1441.83
ORD0000425,1,credit_card,5,630.14
ORD0000426,1,credit_card,12,376.23
ORD0000427,1,boleto,2,63.73
ORD0000428,1,boleto,4,158.83
ORD0000429,1,credit_card,5,1039.66
ORD0000430,1,boleto,1,98.97
ORD0000431,1,voucher,5,157.26
ORD0000432,1,boleto,5,877.22
ORD0000433,1,voucher,3,28.48
ORD0000434,1,debit_card,11,148.84
ORD0000435,1,debit_card,8,1614.29
ORD0000436,1,boleto,12,1945.15
ORD0000437,1,boleto,3,1606.94
ORD0000438,1,boleto,8,1559.02
ORD0000439,1,voucher,4,811.41
ORD0000440,1,credit_card,6,937.59
ORD0000441,1,debit_card,10,401.44
ORD0000442,1,debit_card,4,341.81
ORD0000443,1,credit_card,6,1286.73
ORD0000444,1,debit_card,7,91.16
ORD0000445,1,credit_card,8,420.76
ORD0000446,1,voucher,5,490.24
ORD0000447,1,boleto,1,721.4
ORD0000448,1,voucher,6,1820.16
ORD0000449,1,debit_card,8,88.79
ORD0000450,1,credit_card,11,1003.89
ORD0000451,1,debit_card,3,265.54
ORD0000452,1,debit_card,3,348.78
ORD0000453,1,credit_card,2,1424.84
ORD0000454,1,voucher,2,666.18
ORD0000455,1,credit_card,12,1058.12
ORD0000456,1,boleto,3,1522.97
ORD0000457,1,boleto,9,1546.18
ORD0000458,1,credit_card,11,310.38
ORD0000459,1,voucher,1,130.72
ORD0000460,1,boleto,12,1277.95
ORD0000461,1,debit_card,2,888.09
ORD0000462,1,credit_card,2,385.6
ORD0000463,1,voucher,9,1098.98
ORD0000464,1,voucher,7,490.62
ORD0000465,1,debit_card,10,1999.29
ORD0000466,1,voucher,2,849.69
ORD0000467,1,boleto,11,383.94
ORD0000468,1,credit_card,6,818.28
ORD0000469,1,credit_card,1,542.46
ORD0000470,1,boleto,2,945.85
ORD0000471,1,voucher,4,1499.88
ORD0000472,1,boleto,2,301.4
ORD0000473,1,debit_card,1,35.63
ORD0000474,1,boleto,7,1451.72
ORD0000475,1,boleto,7,1614.96
ORD0000476,1,boleto,1,408.27
ORD0000477,1,boleto,2,513.9
ORD0000478,1,debit_card,8,45.03
ORD0000479,1,debit_card,8,414.62
ORD0000480,1,credit_card,11,1714.73
ORD0000481,1,credit_card,1,1219.88
ORD0000482,1,debit_card,5,429.16
ORD0000483,1,debit_card,5,1071.11
ORD0000484,1,voucher,2,1539.72
ORD0000485,1,voucher,4,1493.82
ORD0000486,1,voucher,2,811.14
ORD0000487,1,debit_card,12,405.76
ORD0000488,1,debit_card,8,500.77
ORD0000489,1,debit_card,8,1546.64
ORD0000490,1,boleto,5,545.22
ORD0000491,1,debit_card,11,422.15
ORD0000492,1,boleto,1,268.98
ORD0000493,1,boleto,2,930.83
ORD0000494,1,voucher,4,257.04
ORD0000495,1,voucher,4,515.71
ORD0000496,1,credit_card,6,907.56
ORD0000497,1,boleto,3,1077.18
ORD0000498,1,debit_card,2,1306.86
ORD0000499,1,boleto,2,1542.5
ORD0000500,1,debit_card,9,1008.7
ORD0000501,1,voucher,5,1271.83
ORD0000502,1,debit_card,10,817.24
ORD0000503,1,debit_card,2,1950.01
ORD0000504,1,voucher,8,118.78
ORD0000505,1,boleto,11,1924.76
ORD0000506,1,debit_card,10,423.42
ORD0000507,1,debit_card,12,746.85
ORD0000508,1,debit_card,5,1560.82
ORD0000509,1,debit_card,5,1283.61
ORD0000510,1,voucher,10,1307.94
ORD0000511,1,voucher,11,1761.73
ORD0000512,1,credit_card,6,1459.72
ORD0000513,1,credit_card,5,1019.17
ORD0000514,1,credit_card,6,1844.21
ORD0000515,1,credit_card,5,896.23
ORD0000516,1,credit_card,1,1959.06
ORD0000517,1,voucher,3,20.93
ORD0000518,1,debit_card,4,668.09
ORD0000519,1,boleto,9,806.82
ORD0000520,1,debit_card,8,91.9
ORD0000521,1,debit_card,12,1128.11
ORD0000522,1,boleto,12,1692.95
ORD0000523,1,debit_card,7,1706.54
ORD0000524,1,debit_card,3,1632.8
ORD0000525,1,credit_card,11,1655.89
ORD0000526,1,voucher,9,1849.01
ORD0000527,1,voucher,1,279.97
ORD0000528,1,boleto,3,1203.15
ORD0000529,1,debit_card,4,1745.04
ORD0000530,1,boleto,12,1537.6
ORD0000531,1,voucher,7,290.37
ORD0000532,1,debit_card,7,250.6
ORD0000533,1,voucher,2,381.27
ORD0000534,1,voucher,11,1341.79
ORD0000535,1,debit_card,12,684.95
ORD0000536,1,credit_card,2,1809.82
ORD0000537,1,boleto,1,292.59
ORD0000538,1,voucher,1,794.58
ORD0000539,1,debit_card,9,901.67
ORD0000540,1,voucher,3,1409.78
ORD0000541,1,boleto,11,923.83
ORD0000542,1,boleto,6,1259.92
ORD0000543,1,boleto,10,1854.24
ORD0000544,1,voucher,1,1151.63
ORD0000545,1,credit_card,3,428.06
ORD0000546,1,debit_card,3,114.88
ORD0000547,1,voucher,2,1776.67
ORD0000548,1,boleto,5,1345.66
ORD0000549,1,boleto,1,1181.91
ORD0000550,1,boleto,3,82.2
ORD0000551,1,credit_card,8,414.99
ORD0000552,1,debit_card,2,1264.88
ORD0000553,1,debit_card,11,361.72
ORD0000554,1,debit_card,7,85.96
ORD0000555,1,credit_card,6,1496.89
ORD0000556,1,voucher,7,1714.12
ORD0000557,1,debit_card,7,880.03
ORD0000558,1,debit_card,11,1025.06
ORD0000559,1,voucher,7,1880.62
ORD0000560,1,boleto,11,1942.41
ORD0000561,1,boleto,10,193.49
ORD0000562,1,credit_card,3,253.5
ORD0000563,1,credit_card,6,256.51
ORD0000564,1,debit_card,11,601.73
ORD0000565,1,voucher,12,1174.2
ORD0000566,1,credit_card,4,965.35
ORD0000567,1,debit_card,3,995.09
ORD0000568,1,debit_card,4,408.38
ORD0000569,1,debit_card,4,1290.59
ORD0000570,1,voucher,8,947.23
ORD0000571,1,credit_card,4,1485.25
ORD0000572,1,boleto,12,750.41
ORD0000573,1,voucher,9,253.93
ORD0000574,1,voucher,5,297.22
ORD0000575,1,voucher,2,376.72
ORD0000576,1,boleto,11,1146.28
ORD0000577,1,boleto,11,1410.14
ORD0000578,1,credit_card,3,1847.6
ORD0000579,1,debit_card,5,830.04
ORD0000580,1,boleto,4,663.23
ORD0000581,1,credit_card,12,1417.19
ORD0000582,1,boleto,8,269.98
ORD0000583,1,voucher,12,1570.24
ORD0000584,1,credit_card,11,1406.73
ORD0000585,1,boleto,11,1244.85
ORD0000586,1,voucher,4,60.69
ORD0000587,1,boleto,12,250.16
ORD0000588,1,voucher,12,693.99
ORD0000589,1,boleto,6,617.96
ORD0000590,1,credit_card,5,965.25
ORD0000591,1,credit_card,12,886.93
ORD0000592,1,boleto,5,148.16
ORD0000593,1,boleto,4,1446.92
ORD0000594,1,credit_card,10,1463.53
ORD0000595,1,voucher,10,1479.47
ORD0000596,1,boleto,5,1844.75
ORD0000597,1,debit_card,12,519.26
ORD0000598,1,credit_card,12,1942.45
ORD0000599,1,boleto,11,1541.07
ORD0000600,1,voucher,1,1505.1
ORD0000601,1,voucher,8,1841.29
ORD0000602,1,credit_card,11,293.07
ORD0000603,1,voucher,9,1831.26
ORD0000604,1,debit_card,1,157.73
ORD0000605,1,credit_card,12,1518.75
ORD0000606,1,debit_card,4,1954.66
ORD0000607,1,voucher,7,1342.14
ORD0000608,1,boleto,10,96.42
ORD0000609,1,boleto,10,986.3
ORD0000610,1,debit_card,11,1671.25
ORD0000611,1,voucher,8,1467.81
ORD0000612,1,credit_card,2,895.17
ORD0000613,1,credit_card,6,1255.91
ORD0000614,1,credit_card,11,1649.92
ORD0000615,1,voucher,4,1657.56
ORD0000616,1,voucher,12,1288.07
ORD0000617,1,credit_card,1,215.2
ORD0000618,1,boleto,8,1068.42
ORD0000619,1,debit_card,12,678.83
ORD0000620,1,boleto,2,652.18
ORD0000621,1,boleto,3,1442.15
ORD0000622,1,credit_card,12,1911.32
ORD0000623,1,boleto,2,1764.57
ORD0000624,1,debit_card,9,187.68
ORD0000625,1,credit_card,5,1301.01
ORD0000626,1,boleto,11,840.88
ORD0000627,1,credit_card,7,1820.1
ORD0000628,1,boleto,6,1947.82
ORD0000629,1,credit_card,10,1437.74
ORD0000630,1,debit_card,2,1568.02
ORD0000631,1,credit_card,4,1777.81
ORD0000632,1,credit_card,9,1507.74
ORD0000633,1,debit_card,11,1500.01
ORD0000634,1,debit_card,4,703.34
ORD0000635,1,voucher,5,1004.81
ORD0000636,1,debit_card,4,404.84
ORD0000637,1,credit_card,12,1752.49
ORD0000638,1,debit_card,12,1014.13
ORD0000639,1,boleto,2,441.85
ORD0000640,1,credit_card,7,1310.06
ORD0000641,1,credit_card,9,480.44
ORD0000642,1,boleto,8,21.39
ORD0000643,1,credit_card,8,490.32
ORD0000644,1,credit_card,8,249.49
ORD0000645,1,boleto,3,1263.63
ORD0000646,1,credit_card,1,1824.6
ORD0000647,1,debit_card,10,38.76
ORD0000648,1,voucher,12,1038.81
ORD0000649,1,boleto,12,865.17
ORD0000650,1,debit_card,4,1137.87
ORD0000651,1,boleto,8,1693.23
ORD0000652,1,debit_card,1,943.35
ORD0000653,1,debit_card,8,427.87
ORD0000654,1,voucher,2,26.61
ORD0000655,1,credit_card,8,1587.78
ORD0000656,1,debit_card,9,1288.16
ORD0000657,1,voucher,4,578.1
ORD0000658,1,boleto,11,1903.33
ORD0000659,1,debit_card,6,381.84
ORD0000660,1,boleto,6,1369.68
ORD0000661,1,boleto,7,482.92
ORD0000662,1,boleto,4,585.78
ORD0000663,1,voucher,7,246.45
ORD0000664,1,credit_card,3,1210.27
ORD0000665,1,voucher,6,344.61
ORD0000666,1,credit_card,4,1095.41
ORD0000667,1,credit_card,7,189.44
ORD0000668,1,debit_card,3,1882.21
ORD0000669,1,boleto,4,389.11
ORD0000670,1,debit_card,2,1578.58
ORD0000671,1,debit_card,5,1938.01
ORD0000672,1,boleto,4,710.76
ORD0000673,1,debit_card,4,1371.45
ORD0000674,1,debit_card,3,1809.22
ORD0000675,1,credit_card,1,1264.64
ORD0000676,1,debit_card,7,1682.06
ORD0000677,1,credit_card,8,312.68
ORD0000678,1,credit_card,6,334.33
ORD0000679,1,credit_card,12,942.0
ORD0000680,1,debit_card,10,1723.95
ORD0000681,1,debit_card,2,224.68
ORD0000682,1,credit_card,9,1057.7
ORD0000683,1,credit_card,9,469.33
ORD0000684,1,credit_card,2,1831.22
ORD0000685,1,boleto,11,1063.48
ORD0000686,1,voucher,7,1894.65
ORD0000687,1,credit_card,1,709.62
ORD0000688,1,credit_card,2,512.1
ORD0000689,1,boleto,5,1977.3
ORD0000690,1,debit_card,6,1806.34
ORD0000691,1,voucher,9,140.34
ORD0000692,1,voucher,7,1075.02
ORD0000693,1,voucher,2,1009.13
ORD0000694,1,debit_card,10,364.64
ORD0000695,1,credit_card,10,278.8
